dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
swDietTypeCode|N|||text||12|1||SWDietTypeCodeVV||||||||E|N|en|Diet Type Code|Code indicating the diet for, which the product is suitable.|Horizontal|Dropdown|100|Left|200|Left||||Active||NULL|
swNutritionalInformationBanner|N||||||||||||||||R|N|en|Nutritional and Ingredients Information|Nutritional and Ingredients Information|Banner|Label|200|Left|200|Left||||Active||NULL|
swDoesProductRequireIngredientsDeclaration|N|||boolean|||||||||||||E|N|en|Does this Product Require an Ingredients and Nutritional Declaration?|Does your product require us to add Ingredient or Nutritional Labeling to finished product or is your product a component to finished product at retail store? |Horizontal|Boolean|300|Left|200|Left||||Active||NULL|
swDepartment|N|||text||4|1||SWDepartmentVV||||||||E|N|en|Department|Indicate the department your item is primarily located within|Horizontal|Dropdown|400|Left|200|Left||||Active||NULL|
swservingSizePreparationState|N|||text||12|1||FNBPreparationType||||||||E|N|en|Serving Size Preparation State|Code specifying whether the nutrient information applies to the prepared or unprepared state of the product.|Horizontal|Dropdown|500|Left|200|Left||||Active||NULL|
swServingSize|N|||float|6|6|2||||||||||E|N|en|Serving Size|Enter the serving size in Grams |Horizontal|Float|600|Left|200|Left||||Active||NULL|
swServingsPerContainer|N|||text||60|1||||||||||E|N|en|Servings Per Container|Enter the Servings per Container (Approximate if needed)|Horizontal|Text|700|Left|200|Left||||Active||NULL|
swServingSizeDescription|N|||text||60|1||||||||||E|N|en|Serving Size Description|Serving Size Description (Example: 4 Cookies)|Horizontal|Text|800|Left|200|Left||||Active||NULL|
swNutrients/swNutrientName|N|swNutrients|999|text||3|1||SWNutrientNameVV||||||||R|N|en|Nutrient Name|Nutrient Name|LoopGroup|Dropdown|900|Left|200|Left||||Active||NULL|
swNutrients/swNutrientValue|N|swNutrients|999|text||9|1||||||||||E|N|en|Amount Per 100 Grams|Enter value in terms of 100 Gram serving using Unit of Measure from Attribute description (00000.000)|LoopGroup|Text|1000|Left|200|Left||||Active||NULL|
swNutrients/swNutrientAnalysis|N|swNutrients|999|text||3|1||SWAnalysisDoneByVV||||||||E|N|en|Analysis Done By|Lab or Calculated|LoopGroup|Dropdown|1100|Left|200|Left||||Active||NULL|
ingredientStatement|Y||100|text||4000|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Ingredient Statement|List of ingredients contained in the product.|Horizontal|Text|1200|Left|200|Left|500|||Active||NULL|
swAllergenInformationBanner|N||||||||||||||||R|N|en|Allergen and Additive Information|Allergen and Additive Information|Banner|Label|1300|Left|200|Left||||Active||NULL|
swDoesProductContainAllergens|N|||boolean|||||||||||||E|N|en|Does Product Contain Allergens?|Indicate if the item contains common allergens such as tree nuts, shellfish, dairy, etc.|Horizontal|Boolean|1400|Left|200|Left||||Active||NULL|
swAllergens/swAllergenTypeCode|N|swAllergens|100|text||60|1||FNBAllergenTypeCode||||||||E|N|en|Allergen Type Code|Value that identifies the type of allergen in the product |LoopGroup|Dropdown|1700|Left|200|Left||||Active||NULL|
swAllergens/swLevelOfContainment|N|swAllergens|100|text||60|1||FNBLevelOfContainment||||||||E|N|en|Level Of Containment|Value that identifies the level of presence of the allergen in the product.|LoopGroup|Dropdown|1800|Left|200|Left||||Active||NULL|
foodAndBevAdditiveInformation/additiveName|N|foodAndBevAdditiveInformation|100|text||200|1|N|||||||||E|N|en|Additive Name|additiveName<br>Qualifier: FNB031<br>Represents the name of any additive or genetic modification contained or not contained in the trade item.|LoopGroup|Text|1900|Left|200|Left||||Active||NULL|
foodAndBevAdditiveInformation/levelOfContainmentCode|N|foodAndBevAdditiveInformation|100|text||60|1|N|FNBLevelOfContainment||||||||E|N|en|Additive Level of Containment|additiveLevelOfContainment<br>Qualifier: FNB032<br>Code indicating the level of presence of the additive.|LoopGroup|Dropdown|2000|Left|200|Left||||Active||NULL|
swIsItemControlledSubstance|N|||boolean|||||||||||||E|N|en|Is this Item a controlled substance?|Federally defined regulated substances.|Horizontal|Boolean|2200|Left|200|Left||||Active||MANDATORY_BEFORE|
swDisplayerUnitCost|N|||float|8|8|4||||||||||E|N|en|Displayer Unit Cost|Unit Cost of the component in the Display|Horizontal|Float|2300|Left|200|Left||||Active||NULL|
swDisplayerUnitRetail|N|||float|5|5|2||||||||||E|N|en|Displayer Unit Retail|Unit Retail of the component in the Display|Horizontal|Float|2400|Left|200|Left||||Active||NULL|
swIsThisItemGovernedUnderHACCP|N|||boolean|||||||||||||E|N|en|Is this item governed under Hazard Analysis and Critical Control Point (HACCP) ?|Hazard Analysis and Critical Control Point (HACCP): is a systematic preventive approach used in the food industry to identify potential physical, chemical, and biological food safety hazards, so that key actions, known as Critical Control Points (CCP's) can be taken to reduce or eliminate the risk of the hazards being realized. HAACP items include fresh or saltwater finfish, crustaceans, mollusks, other forms of aquatic animal life (including but not limited to alligator, frog, aquatic turtle, jellyfish, sea cucumber, and sea urchin) other than birds or mammals where such animal life is intended for human consumption. This also includes Fishery Products which fish is a characterizing ingredient.|Horizontal|Boolean|2500|Left|200|Left||||Active||MANDATORY_BEFORE|
swHACCP|N|||text||70|1||SWHACCPVV||||||||E|N|en|HACCP|HACCP|Horizontal|Dropdown|2600|Left|200|Left||||Active||NULL|
swDoesItemRequireATareValue|N|||boolean|||||||||||||E|N|en|Does this Item Require a Tare Value?|The package weight of items sold by random weight (Perishable items only). This value is subtracted from the gross weight so that the customer pays for the product only (not the package). e.g. Deli cheese wrapped in plastic. Tare values should be reflected as .001 / lb. Note: A wet tare is required for NorCal and Vons for meat and seafood items only.|Horizontal|Boolean|2700|Left|200|Left||||Active||NULL|
swDryTareValue|N|||text||5|3|||M|uom|text||6|3|SWTareUOMVV|E|N|en|Dry Tare Value|The package weight of items sold by random weight (Perishable items only). This value is subtracted from the gross weight so that the customer pays for the product only (not the package). e.g. Deli cheese wrapped in plastic. Tare values should be reflected as .001 / lb. |Horizontal|Text|2800|Left|200|Left||||Active||NULL|
swWetTareValue|N|||text||5|3|||M|uom|text||6|3|SWTareUOMVV|E|N|en|Wet Tare Value|Wet tare values are required for items set up for NorCal and Vons for meat and seafood items only. Tare values should be entered as 0.001/lb.|Horizontal|Text|2900|Left|200|Left||||Active||NULL|
swHazardousInformationBanner|N||||||||||||||||R|N|en|Hazardous Transportation Information|Hazardous Material|Banner|Label|3000|Left|200|Left||||Active||NULL|
transportationClassification|N||||||||||||||||E|N|en|Transportation Classification Link|Transportation Classification Link|Horizontal|FLEX_POPUP|3100|Left|200|Left||||Active||NULL|
swHazmatTransportationConsiderations|N|||boolean|||||||||||||E|N|en|Hazmat Transportation Considerations|Does the item require special Hazmat transportation considerations based on the guidelines published at http://phmsa.dot.gov/hazmat?|Horizontal|Boolean|3200|Left|200|Left||||Active||MANDATORY_BEFORE|
swPackagedforTransportDangerousGood|N|||Boolean|||||||||||||E|N|en|Packaged for Transport - Dangerous Good|Is this item packaged for Transport as a Dangerous Good by the International Civil Aviation Organization (ICAO) or International Air Transport Association (IATA), hereafter referred to as ICAO/IATA?|Horizontal|Boolean|3300|Left|200|Left||||Active||NULL|
swOtherRegulatedMaterials|N|||boolean|||||||||||||E|N|en|Other Regulated Materials – Domestic (ORM-D), Ground Limited Quantity (Ltd Qty)|Indicate if the item contains other regulated materials.|Horizontal|Boolean|3400|Left|200|Left||||Active||NULL|
swPackagedforTransportHazardousMaterial|N|||Boolean|||||||||||||E|N|en|Packaged for Transport - Hazardous Material|Is this item packaged for Transport as a Hazardous Material under CFR 49?  (This includes ORM-D, Class 9 and Limited Quantity)|Horizontal|Boolean|3500|Left|200|Left||||Active||NULL|
swLimitedQuantitySurfaceTransport|N|||Boolean|||||||||||||E|N|en| Limited Quantity - Surface Transport|Is this item packaged for Transport as a Limited Quantity under CFR 49 for surface transport?|Horizontal|Boolean|3600|Left|200|Left||||Active||NULL|
swPackagedforTransportLimitedQuantityVesselTransport|N|||Boolean|||||||||||||E|N|en|Packaged for Transport - Limited Quantity - Vessel Transport|Is this item packaged for Transport as a Limited Quantity under CFR 49 for vessel transport?|Horizontal|Boolean|3700|Left|200|Left||||Active||NULL|
swAircraftShippingLimitationsForbidden|N|||boolean|||||||||||||E|N|en|Aircraft Shipping Limitations Forbidden|Is this item specifically barred from transportation by aircraft?|Horizontal|Boolean|3800|Left|200|Left||||Active||NULL|
swPackagedForTransportLimitedQuantityAirTransport|N|||Boolean|||||||||||||E|N|en|Packaged for Transport - Limited Quantity - Air Transport|Is this item packaged for Transport as a Limited Quantity under CFR 49 for air transport?|Horizontal|Boolean|3900|Left|200|Left||||Active||NULL|
swAirTransportSpecialConsiderations|N|||text||50|1||||||||||E|N|en|Air Transport Special Considerations|If this item can be transported by air and is Limited Quantity under CFR 49, do the existing definitions provided for this item meet ICAO/IATA requirements? If not, provide Identification Number, Proper Shipping Name (include technical name if applicable), Class or Division, Subisdiary Risk, Packing Group for where they differ|Horizontal|Text|4000|Left|200|Left||||Active||NULL|
swSymbol|Y||999|text||6|1||SWSymbolVV||||||||E|N|en|Symbol|Please provide Symbol from Hazardous Material Table 49 CFR, §172.101 Column 1-- if multiples are required - provide all values |Horizontal|Multi_Select_List|4100|Left|200|Left||||Active||NULL|
swHazardClassOrDivision|N|||text||3|1||SWHazardClassorDivisionVV||||||||E|N|en|Hazard Class or Division|The hazard class or division as defined by column 3 on CFR 49, 172.101.|Horizontal|Dropdown|4200|Left|200|Left||||Active||NULL|
swPackingGroup|N|||text||1|1||swPackingGroupVV||||||||E|N|en|Packing Group|What specific Packing Group? This would pertain to the 49 CFR, 172.101 column 5|Horizontal|Dropdown|4300|Left|200|Left||||Active||NULL|
swLabelCode|Y||999|text||3|1||SWLabelCodeVV||||||||E|N|en|Label Code|The label code as defined by column 6 on CFR 49, 172.101. |Horizontal|Multi_Select_List|4400|Left|200|Left||||Active||NULL|
swLAANumber|Y||999|text||20|1||||||||||E|N|en|LAA Number|Required if proper shipping name is lighters|Horizontal|Text|4500|Left|200|Left||||Active||NULL|
swHazmatWeight|N|||float|6|6|3|||M|uom|text||5|2|MassUOM|E|N|en|Hazmat Weight|Weight in grams, liters or kilograms.|Horizontal|Float|4600|Left|200|Left||||Active||NULL|
swSpecialProvisions|Y||999|text||20|1||||||||||E|N|en|Special Provisions|Enter any special Provision codes that apply from 49 CFR 172.101 column 7|Horizontal|Text|4700|Left|200|Left||||Active||NULL|
swPackagingExceptions|N|||Boolean|||||||||||||E|N|en|Packaging Exceptions|Does this item have packaging exceptions per 172.101 Column 8|Horizontal|Boolean|4800|Left|200|Left||||Active||NULL|
swPackagingExceptionApplicableToThisProduct|N|||text||10|1||||||||||E|N|en|Packaging Exception applicable to this product|Does this item have packaging exceptions per 172.101 Column 8A|Horizontal|Text|4900|Left|200|Left||||Active||NULL|
swNon-bulkPackagingApplicableToThisProduct|N|||text||10|1||||||||||E|N|en|Non-bulk packaging applicable to this product|Does this item have packaging exceptions per 172.101 Column 8B|Horizontal|Text|5000|Left|200|Left||||Active||NULL|
swBulkPackaging|N|||text||10|1||||||||||E|N|en|Bulk Packaging|Does this item have packaging exceptions per 172.101 Column 8C|Horizontal|Text|5100|Left|200|Left||||Active||NULL|
swQuantityLimitations|N|||Boolean|||||||||||||E|N|en|Quantity Limitations|Does this item have Quantity Limitations in 172.101 Column 9|Horizontal|Boolean|5200|Left|200|Left||||Active||NULL|
swPassengerAircraftRail|N|||text||20|1||||||||||E|N|en|Passenger Aircraft/Rail|Provide value from Hazardous Material Table - Column 9B|Horizontal|Text|5300|Left|200|Left||||Active||NULL|
swCargoAircraftOnly|N|||text||20|1||||||||||E|N|en|Cargo Aircraft Only|Does this item have Quantity Limitations in 172.101 Column 9A|Horizontal|Text|5400|Left|200|Left||||Active||NULL|
swVesselStowageRequirements|N|||text||10|1||||||||||E|N|en|Vessel Stowage Requirements|Specific instructions on how Hazmat item should be stowed. 49 CFR, 171.101 columns 10A and 10B|Horizontal|Text|5500|Left|200|Left||||Active||NULL|
swPackingInstructions|N|||text||200|1||||||||||E|N|en|Packing Instructions|What is the Packing Instruction for this item from the ICAO/IATA regulations?  (as applicable from column G, I or K of Section 4 of the IATA regulations)|Horizontal|Text|5600|Left|200|Left||||Active||NULL|
swAreSpecialPermitsRequiredTransportByLandAirOrSea|N|||Boolean|||||||||||||E|N|en|Are special permits required transport by land, air or sea?|Are there any special permits involved in transporting this item by land, air or sea?|Horizontal|Boolean|5700|Left|200|Left||||Active||MANDATORY_BEFORE|
swSpecialPermitNumber|Y||999|text||20|1||||||||||E|N|en|Special Permit number(s)|If there are special permits required transport by land, air or sea, list the Special Permit number(s) that apply. Please also submit a copy of the Special Permit(s) along with the authorized grantee|Horizontal|Text|5800|Left|200|Left||||Active||NULL|
swIsItemAerosol|N|||Boolean|||||||||||||E|N|en|Is Item Aerosol|Does Item have aerosol?|Horizontal|Boolean|5900|Left|200|Left||||Active||MANDATORY_BEFORE|
swAerosolLevel|N|||text||3|1||SWAerosolLevelVV||||||||E|N|en|Aerosol Level|Indicates whether or not a product contains a compressed gas or propellant.  If this item is an aerosol indicate its aerosol level (1, 2, 3).|Horizontal|Dropdown|6000|Left|200|Left||||Active||NULL|
swMarinePollutants|N|||Boolean|||||||||||||E|N|en|Marine Pollutants|Marine Pollutants: Is this item a marine pollutant listed in 49 CFR Section 172.101 Appendix B?|Horizontal|Boolean|6100|Left|200|Left||||Active||MANDATORY_BEFORE|
swMarinePollutantName|N|||text||40|1||||||||||E|N|en|Marine Pollutant Name|Provide Marine Pollutant Name|Horizontal|Text|6200|Left|200|Left||||Active||NULL|
swHazardousSubstanceReportableQuantity|N|||Boolean|||||||||||||E|N|en|Hazardous Substance/Reportable Quantity|Is this item, as packaged for transportation, a Hazardous Substance in a Reportable Quantity per CFR 49 Section 172.101 Appendix A|Horizontal|Boolean|6300|Left|200|Left||||Active||MANDATORY_BEFORE|
swHazardousSubstance|N|||text||40|1||||||||||E|N|en|Hazardous Substance|Indicate the Hazardous Substance from CFR 49 Section 172.101 Appendix A|Horizontal|Text|6400|Left|200|Left||||Active||NULL|
swReportableQuantity|N|||float|5|5|2|||M|uom|text||5|2|SWReportableQuantityVV|E|N|en|Reportable Quantity|Indicate the reportable quantity from CFR 49 Section 172.101 Appendix A|Horizontal|Float|6500|Left|200|Left||||Active||NULL|
swContainerType|N|||text||2|1||SWContainerTypeVV||||||||E|N|en|Container Type|What type of container is this item packaged in for transportation?|Horizontal|Dropdown|6600|Left|200|Left||||Active||MANDATORY_BEFORE|
swContainerTypeOther|N|||text||20|1||||||||||E|N|en|Container Type Other|If other Container type is selected - please specify|Horizontal|Text|6700|Left|200|Left||||Active||NULL|
swMSDSSheetURL|N|||text||512|1||||||||||E|N|en|MSDS Sheet URL|URL to Manufacturer's material safety data sheet for the product|Horizontal|Text|6800|Left|200|Left||||Active||NULL|
