dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
targetMarket|N|||text||2|1|N|StandardCountryCodes||||||||R|N|en|Target Market|The target market indicates the country where the trade item is available for sale. Combination of this field +GTIN+GLN uniquely identifies a trade item. Default is US.|Horizontal|Dropdown|100|Left|200|Left||||Active||NULL|
informationProviderGLN|N|||text||13|1|N|||||||||R|N|en|Information Provider GLN|The GLN of the organization responsible for the validity of the item information being supplied.|Horizontal|Text|200|Left|200|Left||||Active||NULL|
informationProviderName|N|||text||128|1|N|||||||||R|N|en|Information Provider Name|Name of the company associated with the Information Provider GLN.|Horizontal|Text|300|Left|200|Left|128|||Active||NULL|
startAvailabilityDate|N|||datetime|||||||||||||E|N|en|Start Availability Date|The date from which the trade item becomes available from the supplier, including seasonal or temporary trade items. Most common is to use current date.|Horizontal|DateTime|400|Left|200|Left||||Active||MANDATORY_BEFORE|
gtinName|Y|||text||140|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|GTIN Name|The name of the trade item as it appears on the package, plus any key identifying words to help 1SYNC Item Management users to easily distinguish trade items.|Horizontal|Text|500|Left|200|Left||||Active||MANDATORY_BEFORE|
productType|N|||text||80|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item (e.g. each, case, pallet, etc.).|Horizontal|Dropdown|600|Left|200|Left||||Active||MANDATORY_BEFORE|
totalQuantityOfNextLowerTradeItem|N|||integer||6|1||||||||||E|N|en|Qty of Next Level Item(s)|The total number of next lower level products contained within this specific product hierarchy level (e.g. – CASE product type contains 24 consumer units, the qty of next level items = 24).|Horizontal|Integer|700|Left|200|Left||||Active||MANDATORY_BEFORE|
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|800|Left|200|Left||||Active||MANDATORY_BEFORE|
shortDescription|Y|||text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Short Description / POS Desc|A short textual description associated with the product. This description can be used on the cash register receipt. This is the first line of the description.|Horizontal|Text|900|Left|200|Left||||Active||NULL|
brandDistributionTradeItemType|Y||100|text||70|1||BrandDistributionCode||||||||E|N|en|Brand Distribution Trade Item Type|Brand Distribution Trade Item Type|Horizontal|Multi_Select_List|1000|Right|200|Left||||Active||NULL|
swBrandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|1100|Left|200|Left|40|||Active||NULL|
swBrandCode|N|||integer||4|1||SWBrandCodeVV||||||||E|N|en|Brand Code|Brand Code|Horizontal|Dropdown|1200|Left|200|Left||||Active||NULL|
swNationalBrandEquivalentUPC|N|||integer||12|1||||||||||E|N|en|National Brand Equivalent Universal Product Code (UPC)|UPC of national brand item most like new Consumer Brand item.|Horizontal|Integer|1300|Left|200|Left||||Active||NULL|
swProductDescription|Y||999|text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Product Description|An understandable and usable description of the product using brand name and other descriptors. This attribute should be populated with as little abbreviation as possible while keeping to a reasonable length.|Horizontal|Text|1400|Left|200|Left|100|||Active||MANDATORY_BEFORE|
netContent|Y||100|float|38|38|15|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|E|N|en|Net Content & UOM - Vendor|The amount of the product contained in the package, usually as claimed on the label. If a product’s net content can be represented in multiple values – please provide all values (e.g. laundry detergent – 150 fluid ounces 1.17 gallons, 96 loads).|Horizontal|Float|1450|Left|200|Left||||Active||MANDATORY_BEFORE|
swNetContent|Y||100|text||100|1|||M|uom|text||5|2|AreaCountDimensionInfostorageMassVolumeUOM|E|N|en|Net Content Override|Edit to conform to Albertsons size format if needed.|Horizontal|Text|1500|Left|200|Left||||Active||NULL|
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|1600|Left|200|Left||||Active||MANDATORY_BEFORE|
swNetWeight|Y||999|text||11|1|||M|uom|text||5|2|MassUOM|E|N|en|Net Weight & UOM|Identifies the net weight of the product. Net weight excludes all packaging material. Numeric field only, no special characters can be used.|Horizontal|Text|1700|Left|200|Left||||Active||NULL|
globalClassificationCategory/code|N|globalClassificationCategory|1|text||8|8|N|||||||||R|N|en|GPC Brick Code|The classification code according to the classification system established by the GDSN and assigned to an item.|LoopGroupVertical|Text|1800|Left|200|Left|8|||Active||0|
globalClassificationCategory/name|N|globalClassificationCategory|1|text||255|1|N|||||||||R|N|en|Global Classification Category Name|The classification code description that applies to this code chosen for the product in the Global Product Classification Code Scheme.|LoopGroupVertical|Text|1900|Left|200|Left|255|||Active||NULL|
swBarcodeType|N|||text||70|1||SWKindsofBarcodesVV||||||||E|N|en|What Kind of Barcode Does This Item Have?|Indicate if the item has a vendor assigned UPC or Front End PLU or System 2 /Scale UPC. If so, select the UPC format. If yes, provide the UPC, System 2/Scale UPC or PLU code.|Horizontal|Dropdown|2000|Left|200|Left||||Active||MANDATORY_BEFORE|
swUPC/code|N|swUPC|100|text||80|1|N|||||||||E|N|en|GS1 Trade Item ID Value (UPC)|The EANUCC Code or number required based on the Product Type. Its character length depends on EANUCC Type chosen (i.e., EAN-13, UPC-A).|LoopGroup|Text|2100|Left|200|Left||||Active||NULL|
swUPC/type|N|swUPC|100|text||70|1|N|GS1TradeItemIdentificationKeyTypeCode||||||||E|N|en|GS1 Trade Item ID Code (UPC)|The EANUCC Code or number required based on the Product Type. Its character length depends on EANUCC Type chosen (i.e., EAN-13, UPC-A).|LoopGroup|Dropdown|2200|Left|200|Left||||Active||NULL|
swAlternateScaleUPC|N|||integer||4|1||||||||||E|N|en|Alternate Scale UPC|Only Required if a System 2 Scale UPC and Division is Southern California|Horizontal|Integer|2300|Left|200|Left||||Active||NULL|
swProductLookupCode|N|||integer||5|1||||||||||E|N|en|Product Lookup Code (PLU)|Front-End Price Look Up (PLU Code): A 5 digit code used at the register when a UPC does not exist. (e.g. 04011 Bananas Yellow)|Horizontal|Integer|2400|Left|200|Left||||Active||NULL|
swDoesProductHaveVendorOrderCode|N|||text||60|1||SWVOCorRetailerAssignedVV||||||||E|N|en|Does Product Have Vendor Order Code (VOC) or Should Albertsons Assign?|In the case your product does not have a VOC (Vendor Order Code) please choose Retailer Assigned. |Horizontal|Dropdown|2500|Left|200|Left||||Active||MANDATORY_BEFORE|
swVendorOrderCodeOrCaseCode|N|||integer||14|1||||||||||E|N|en|Vendor Order Code (VOC) or Case Code|Vendor Order Code (VOC) / Case Code is a UPC that (if provided) carries over to printed Purchase Orders and is used in the transmission of Electronic Data Interchange (EDI) orders. Numeric field only and no special characters can be used. |Horizontal|Integer|2600|Left|200|Left||||Active||MANDATORY_BEFORE|
nonGTINPalletTi|N|||integer||10|1||||||||||E|N|en|Number of Trade Items Per Pallet Layer/Non GTIN Pallet Ti|The number of trade items contained on a single layer of a pallet. Only used if the pallet has no GTIN.|Horizontal|Integer|2700|Left|200|Left||||Active||NULL|
nonGTINPalletHi|N|||integer||10|1||||||||||E|N|en|Number of Layers Per Pallet/Non GTIN Pallet Hi|Represents the number of layers that a pallet contains Only used if pallet has no GTIN. Applies to the highest level of the item hierarchy and only 1 pallet configuration can be provided.|Horizontal|Integer|2800|Left|200|Left||||Active||NULL|
ti|N|||integer||10|1||||||||||E|N|en|Num of Items in a Complete Layer/GTIN Pallet Ti|The number of cases contained in a layer of a standard shipment.|Horizontal|Integer|2900|Left|200|Left|3|||Active||NULL|
hi|N|||integer||10|1||||||||||E|N|en|Num of Complete Layers Cont in Item/GTIN Pallet Hi|The number of layers that a pallet contains. Only used if pallet has no GTIN. In this case it applies to the highest level of the item hierarchy and only 1 pallet configuration can be provided. It is highly recommended to use GTIN for pallet identification.|Horizontal|Integer|3000|Left|200|Left|3|||Active||NULL|
swVendorProductCode|N|||text||12|1||||||||||E|N|en|Vendor Product Code|Vendor assigned product code up to 12 characters in length. This is an optional field.|Horizontal|Text|3100|Left|200|Left||||Active||NULL|
isOrderableUnit|N|||boolean|||||||||||||E|N|en|Ordering Unit Indicator|Yes indicates that this trade item is the packaging level where the supplier will accept orders from retailer customers. This may be different from what the information provider identifies as a dispatch unit.|Horizontal|Boolean|3200|Left|200|Left||||Active||MANDATORY_BEFORE|
isConsumerUnit|N|||boolean|||||||||||||E|N|en|Consumer Unit Indicator|Yes indicates this packaging level is the trade item intended for ultimate consumption. For retail, this trade item will be scanned at point of sale. At retail, this data is commonly used to select which GTINs should be used for shelf planning and for front end POS databases.|Horizontal|Boolean|3300|Left|200|Left||||Active||MANDATORY_BEFORE|
isBaseUnit|N|||boolean|||||||||||||R|N|en|Base Unit Indicator|Yes indicates this packaging level is the trade item that is at the lowest level in the item hierarchy.|Horizontal|Boolean|3400|Left|200|Left||||Active||MANDATORY_BEFORE|
isDispatchUnit|N|||boolean|||||||||||||E|N|en|Dispatch Unit Indicator|Yes indicates that this packaging level is the trade item identified as the shipping unit.|Horizontal|Boolean|3500|Left|200|Left||||Active||MANDATORY_BEFORE|
isInvoiceUnit|N|||boolean|||||||||||||E|N|en|Invoice Unit Indicator|Yes indicates this packaging level is the trade item included in the supplier’s billing or invoice.|Horizontal|Boolean|3600|Left|200|Left||||Active||MANDATORY_BEFORE|
effectiveDate|N|||dateTime|||||||||||||E|N|en|Effective Date|The date on which the information for "item add" or "item change" is sent to 1SYNC Item Management Production.|Horizontal|Date|3700|Left|200|Left||||Active||NULL|
discontinueDate|N|||dateTime|||||||||||||E|N|en|Discontinued Date|Communicates the date on which the product will no longer be manufactured.|Horizontal|Date|3800|Left|200|Left||||Active||NULL|
swIsItemLabeledUSDAOrganic|N|||boolean|||||||||||||E|N|en|Is Item Labeled USDA Organic?|Items that meet existing specified organic production standards. Must be organic certified.|Horizontal|Boolean|3900|Left|200|Left||||Active||MANDATORY_BEFORE|
organicClaim/organicTradeItemCode|N|organicClaim|100|text||60|1|N|OrganicTradeItemCode||||||||E|N|en|Organic Trade Item Code|Used to indicate the organic status of a trade item or of one or more of its components.|LoopGroup|Dropdown|4000|Left|200|Left||||Active||NULL|
organicClaim/organicClaimAgencyCode|Y|organicClaim|100|text||80|1|N|OrganicClaimAgency||||||||E|N|en|Organic Claim Agency|A governing body that creates and maintains standards related to organic products.|LoopGroup|Multi_Select_List|4100|Left|200|Left||||Active||NULL|
swIsItemGlutenFree|N|||boolean|||||||||||||E|N|en|Is this item Gluten Free?|Identify whether the product does or does not contain gluten.|Horizontal|Boolean|4150|Left|200|Left||||Active||MANDATORY_BEFORE|
nutritionalClaimDetail/nutritionalClaimTypeCode|N|nutritionalClaimDetail|100|text||80|1||NutritionalClaimTypeCode||||||||E|N|en|Nutritional Claim Type Code|A code depicting the degree to which a trade item contains a specific nutrient or ingredient in relation to a health claim |LoopGroup|DropDown|4160|Right|200|Left||||Active|O|NULL|
nutritionalClaimDetail/nutritionalClaimNutrientElementCode|N|nutritionalClaimDetail|100|text||80|1||NutritionalClaimNutrientElementCode||||||||E|N|en|Nutritional Claim Element Code|The type of nutrient, ingredient, vitamins and minerals that the nutritional claim is in reference to |LoopGroup|DropDown|4170|Right|200|Left||||Active|O|NULL|
swIsKosherCertified|N|||boolean|||||||||||||E|N|en|Is this item Kosher Certified?|Product packaging must define Kosher certification.|Horizontal|Boolean|4200|Left|200|Left||||Active||NULL|
swDietTypeCode|N|||text||12|1||SWDietTypeCodeVV||||||||E|N|en|Diet Type Code|Code indicating the diet for, which the product is suitable.|Horizontal|Dropdown|4300|Left|200|Left||||Active||NULL|
