dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|200|Left|200|Left||||Active||NULL|
audioSoundTypeCode|Y||100|text||60|1|N|MOVAudioSoundType||||||||E|N|en|Audio Sound Type Code|audioSoundTypeCode<br>Qualifier: ENT053<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Multi_Select_List|300|Left|200|Left||||Active||NULL|
avp/additionalFeaturesOrIncludedAccessories|N|||text||250|1|N|||||||||E|N|en|Additional Features Or Included Accessories|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP129<br>Additional features or included accessories that are very product specific that are not covered by any other general attribute. This is a Free Form text, be specific as possible.|Horizontal|Text|400|Left|200|Left||||Active||NULL|
avp/aspectRatio|N|||text||70|1|N|||||||||E|N|en|Aspect Ratio|avpAspectRatio<br>Qualifier: AVP147<br>Indicates the dimensions of a TV; whether of not it is wide screen or standard.|Horizontal|Text|500|Left|200|Left||||Active||NULL|
avp/audioWattsPerChannel|N|||integer||4|1||||||||||E|N|en|Audio Watts Per Channel|audioWattsPerChannel<br>Qualifier: AVP149<br>Indicates the system power for the channels in the audio system. Measured in Watts.|Horizontal|Integer|600|Left|200|Left||||Active||NULL|
avp/batterySize|N|||text||70|1|N|||||||||E|N|en|Battery Size|batterySize<br>Qualifier: AVP776<br>Indicates the size of the battery.|Horizontal|Text|700|Left|200|Left||||Active||NULL|
avp/bTURating|N|||integer||8|1||||||||||E|N|en|BTU Rating|bTURating<br>Qualifier: AVP162<br>British Thermal Unit; describes the unit's output rating.|Horizontal|Integer|800|Left|200|Left||||Active||NULL|
avp/cableConnectionTypes|N|||text||70|1|N|||||||||E|N|en|Cable Connection Types|cableConnectionTypes<br>Qualifier: AVP167<br>Indicates the type of cable connections the product contains.|Horizontal|Text|900|Left|200|Left||||Active||NULL|
avp/cameraFlashType|N|||text||70|1|N|||||||||E|N|en|Camera Flash Type|cameraFlashType<br>Qualifier: AVP176<br>Indicates the type of flash the product contains.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|
avp/cameraLensMagnification|N|||text||70|1|N|||||||||E|N|en|Camera Lens Magnification|cameraLensMagnification<br>Qualifier: AVP178<br>Indicates the lens magnification of the camera product.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
avp/cameraLensOpticalZoom|N|||text||70|1|N|||||||||E|N|en|Camera Lens Optical Zoom|cameraLensOpticalZoom<br>Qualifier: AVP179<br>Indicates the optical zoom on the camera product.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|
avp/capacityQuantity|N|||float|7|14|7||||||||||E|N|en|Capacity Quantity|capacityQuantity<br>Qualifier: AVP190<br>Generally defines how much the product can hold. The values are in reference to the appliance capacity in Cubic feet.|Horizontal|Float|1300|Left|200|Left||||Active||NULL|
avp/cellularServiceProviderName|N|||text||70|1|N|||||||||E|N|en|Cellular Service Provider Name|cellularServiceProviderName<br>Qualifier: AVP197<br>Identifies the name of the service provider for the product.|Horizontal|Text|1400|Left|200|Left||||Active||MANDATORY_BEFORE|
avp/colorPrintSpeed|N|||integer||4|1||||||||||E|N|en|Color Print Speed|colorPrintSpeed<br>Qualifier: AVP202<br>Indicates the color print speed of the product. Measured in Pages per Minute (PPM).|Horizontal|Integer|1500|Left|200|Left||||Active||NULL|
avp/connectorType|N|||text||70|1|N|||||||||E|N|en|Connector Type|connectorType<br>Qualifier: AVP206<br>Indicates the type of connector.|Horizontal|Text|1600|Left|200|Left||||Active||NULL|
avp/cordLength|N|||integer||4|1||||||||||E|N|en|Cord Length|cordLength<br>Qualifier: AVP211<br>Indicates the length of the cord attached to the product.|Horizontal|Integer|1700|Left|200|Left||||Active||NULL|
avp/displayScreenType|Y||3|text||70|1|N|||||||||E|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|1800|Left|200|Left||||Active||NULL|
avp/fuelType|Y||2|text||70|1|N|||||||||E|N|en|Fuel Type|fuelType<br>Qualifier: AVP245<br>Indicates the type of fuel consumed to opperate the unit.|Horizontal|Text|1900|Left|200|Left||||Active||NULL|
avp/furnitureStyle|Y||2|text||70|1|N|||||||||E|N|en|Furniture Style|furnitureStyle<br>Qualifier: AVP248<br>Describes the style of the furniture.|Horizontal|Text|2000|Left|200|Left||||Active||NULL|
avp/hasAutoShutoff|N|||boolean|||||||||||||E|N|en|Has Auto Shutoff?|hasAutoShutoff<br>Qualifier: AVP268<br>Indicates whether or not the product has an auto shutoff in case the user forgets to manually shut off the product off.|Horizontal|Boolean|2100|Left|200|Left||||Active||NULL|
avp/hasRetractableCord|N|||boolean|||||||||||||E|N|en|Has Retractable Cord?|hasRetractableCord<br>Qualifier: AVP386<br>Indicates whether or not the product has the ability to store the cord.|Horizontal|Boolean|2200|Left|200|Left||||Active||NULL|
avp/hasSelfTimer|N|||boolean|||||||||||||E|N|en|Has Self-timer?|hasSelfTimer<br>Qualifier: AVP389<br>Indicates whether or not the product has a self-timer.|Horizontal|Boolean|2300|Left|200|Left||||Active||NULL|
avp/hasTouchScreen|N|||boolean|||||||||||||E|N|en|Has Touch Screen?|hasTouchScreen<br>Qualifier: AVP410<br>Indicates whether or not the product has a touch screen.|Horizontal|Boolean|2400|Left|200|Left||||Active||NULL|
avp/indoorOutdoorUse|N|||text||70|1|N|||||||||E|N|en|Indoor/Outdoor Use|indoorOutdoorUse<br>Qualifier: AVP433<br>Describes the location where the user is most likely to use the product.|Horizontal|Text|2500|Left|200|Left||||Active||NULL|
avp/internalExternalDevice|N|||text||70|1|N|||||||||E|N|en|Internal/External Device|internalExternalDevice<br>Qualifier: AVP436<br>Indicates whether the device is located internally or externally.|Horizontal|Text|2600|Left|200|Left||||Active||NULL|
avp/isCordless|N|||boolean|||||||||||||E|N|en|Is Cordless?|isCordless<br>Qualifier: AVP446<br>Indicates whether or not the product is wireless; basically powered by battery.|Horizontal|Boolean|2700|Left|200|Left||||Active||NULL|
avp/isEnergyStarCompliant|N|||boolean|||||||||||||E|N|en|Is Energy Star Compliant?|isEnergyStarCompliant<br>Qualifier: AVP451<br>Indicates whether or not the product is Energy Star certified.|Horizontal|Boolean|2800|Left|200|Left||||Active||NULL|
avp/isWaterResistant|N|||boolean|||||||||||||E|N|en|Is Water Resistant?|isWaterResistant<br>Qualifier: AVP479<br>Indicates whether or not the ink is water resistant.|Horizontal|Boolean|2900|Left|200|Left||||Active||NULL|
avp/isWeatherProof|N|||boolean|||||||||||||E|N|en|Is Weather Proof?|isWeatherProof<br>Qualifier: AVP480<br>Indicates whether or not the product can be left out in the rain, snow, etc.|Horizontal|Boolean|3000|Left|200|Left||||Active||NULL|
avp/loadingStyle|N|||text||70|1|N|||||||||E|N|en|Loading Style|loadingStyle<br>Qualifier: AVP485<br>Indicates how the laundry is loaded in the product.|Horizontal|Text|3100|Left|200|Left||||Active||NULL|
avp/maximumResolution|N|||text||70|1|N|||||||||E|N|en|Maximum Resolution|maximumResolution<br>Qualifier: AVP496<br>Identifies the maximum resolution of the product.|Horizontal|Text|3200|Left|200|Left||||Active||MANDATORY_BEFORE|
avp/maximumTVScreenSize|N|||integer||4|1||||||||||E|N|en|Maximum TV Screen Size|maximumTVScreenSize<br>Qualifier: AVP498<br>Describes the maximum TV screen size that will fit with the mount.|Horizontal|Integer|3300|Left|200|Left||||Active||NULL|
wmCellPhonesMemoryCapacity|N|||float|30|30|15|||M|uom|text||60|1|WMMemoryCapacity2UOMVV|E|N|en|Memory Capacity|Random Access Memory is a type of computer data storage that allows information to be accessed in a random order. RAM is the most common type of memory found in computers and devices. Example: 16 GB; 1 TB (Please select a value from the drop-down below)|Horizontal|Float|3400|Left|200|Left||||Active||MANDATORY_BEFORE|
avp/minimumTVScreenSize|N|||text||70|1|N|||||||||E|N|en|Minimum TV Screen Size|minimumTVScreenSize<br>Qualifier: AVP504<br>Describes the minimum TV screen size limitations of the mount.|Horizontal|Text|3500|Left|200|Left||||Active||NULL|
avp/nABCAAgeVintage|N|||text||4|1|N|||||||||E|N|en|NABCA Age Vintage|nABCAAgeVintage<br>Qualifier: AVP099<br>The year or vintage of the beverage.|Horizontal|Text|3600|Left|200|Left||||Active||NULL|
avp/nABCAAlternatePercentageOfAlcoholByVolume|Y||2|float|3|3|1||||||||||E|N|en|NABCA Alternate Percentage Of Alcohol By Volume|nABCAAlternatePercentOfAlcoholByVolume<br>Qualifier: AVP105<br>The proof of the item as sold under another label.|Horizontal|Float|3700|Left|200|Left||||Active||NULL|
avp/operatingSystem|Y||5|text||70|1|N|||||||||E|N|en|Operating System|operatingSystem<br>Qualifier: AVP527<br>Indicates the type of operating system which is installed on the machine or, which type of operating system the peripheral is compatible with.|Horizontal|Text|3800|Left|200|Left||||Active||MANDATORY_BEFORE|
avp/opticalDriveType|Y||3|text||70|1|N|||||||||E|N|en|Optical Drive Type|opticalDriveType<br>Qualifier: AVP529<br>Indicates the type of optical drive that is included in the product.|Horizontal|Text|3900|Left|200|Left||||Active||NULL|
avp/peakPowerHandlingWatts|N|||integer||8|1||||||||||E|N|en|Peak Power Handling Watts|peakPowerHandlingWatts<br>Qualifier: AVP539<br>Indicates the amount of power a speaker can handle during a brief musical burst. Measured in Watts.|Horizontal|Integer|4000|Left|200|Left||||Active||NULL|
avp/quantityOfAudioChannels|N|||text||70|1|N|||||||||E|N|en|Quantity Of Audio Channels|quantityOfAudioChannels<br>Qualifier: AVP561<br>Indicates the product's number of channels for the audio system.|Horizontal|Text|4100|Left|200|Left||||Active||NULL|
avp/quantityOfMegapixels|N|||float|7|14|7||||||||||E|N|en|Quantity Of Megapixels|quantityOfMegapixels<br>Qualifier: AVP593<br>Indicates the megapixel size of, which the product takes photographs.|Horizontal|Float|4200|Left|200|Left||||Active||NULL|
avp/quantityOfShelves|N|||integer||4|1||||||||||E|N|en|Quantity Of Shelves|quantityOfShelves<br>Qualifier: AVP618<br>Indicates the number of shelves the product contains.|Horizontal|Integer|4300|Left|200|Left||||Active||NULL|
avp/refillRefillable|N|||text||255|1|N|||||||||E|N|en|REFILL/REFILLABLE(U85)|U85<br>Qualifier: U85<br>Refer to Extension Implementation Guide (for Extension Attributes) or Participant Dictionary (for Core GDSN Attriutes) for more information regarding this field.|Horizontal|Text|4400|Left|200|Left||||Active||NULL|
avp/scannerResolution|N|||text||70|1|N|||||||||E|N|en|Scanner Resolution|scannerResolution<br>Qualifier: AVP646<br>Indicates the resolution of the product.|Horizontal|Text|4500|Left|200|Left||||Active||NULL|
avp/shape|N|||text||70|1|N|||||||||E|N|en|Shape|shape<br>Qualifier: AVP649<br>Indicates the shape of the product.|Horizontal|Text|4600|Left|200|Left||||Active||NULL|
avp/shelfType|Y||3|text||70|1|N|||||||||E|N|en|Shelf Type|shelfType<br>Qualifier: AVP650<br>Describes the type of shelving included in the product..|Horizontal|Text|4700|Left|200|Left||||Active||NULL|
avp/silhouette|N|||text||70|1|N|||||||||E|N|en|Silhouette|silhouette<br>Qualifier: AVP652<br>Describes the shape of the piece of furniture.|Horizontal|Text|4800|Left|200|Left||||Active||NULL|
avp/standbyTimeAmount|N|||integer||4|1||||||||||E|N|en|Standby Time Amount|standbyTimeAmount<br>Qualifier: AVP666<br>Indicates the length of time the product remains powered on while not in use.|Horizontal|Integer|4900|Left|200|Left||||Active||NULL|
avp/televisionTechnologyType|Y||2|text||70|1|N|||||||||E|N|en|Television Technology Type|televisionTechnologyType<br>Qualifier: AVP674<br>Describes the technology used on the television.|Horizontal|Text|5000|Left|200|Left||||Active||MANDATORY_BEFORE|
avp/totalCookingArea|N|||integer||9|1||||||||||E|N|en|Total Cooking Area|totalCookingArea<br>Qualifier: AVP676<br>Indicates the product's total area of cooking space.|Horizontal|Integer|5100|Left|200|Left||||Active||NULL|
avp/tradeItemOrAcesssoryMountType|N|||text||70|1|N|||||||||E|N|en|Trade Item Or Acesssory Mount Type|tradeItemOrAcesssoryMountType<br>Qualifier: AVP680<br>Describes the type of mount that the accessory is considered to be.|Horizontal|Text|5200|Left|200|Left||||Active||NULL|
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|5300|Left|200|Left||||Active||NULL|
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|5400|Left|200|Left||||Active||NULL|
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|5500|Left|200|Left||||Active||NULL|
consumerStorageInstructions|Y||25|text||1000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Consumer Storage Instructions|Expresses in text the consumer storage and usage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a suggested storage temperature.|Horizontal|Text|5600|Left|200|Left|200|||Active||NULL|
diameter|Y||999|float|38|38|15|||M|uom|text||3|1|uom|E|N|en|Diameter|The measurement of the diameter of the trade item at its largest point.|Horizontal|Float|5700|Left|200|Left||||Active||NULL|
displayResolutionCode|N|||text||80|1|N|DisplayResolutionCode||||||||E|N|en|Display Resolution Code|IM: electricalUsageClassResolutionCode, GDSN: displayResolution<br>The display resolution of a television or computer display. This typically refers to the number of distinct pixels in each dimension that can be displayed.|Horizontal|Dropdown|5800|Left|200|Left||||Active||NULL|
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|5900|Left|200|Left||||Active||NULL|
isAssemblyRequired|N|||boolean|||||||||||||E|N|en|Assembly Required|Indicates that the Items in the package need to be assembled for use.|Horizontal|Boolean|6000|Left|200|Left||||Active||NULL|
audioVisualMediaProductLabelName|Y||100|text||70|1|N|||||||||E|N|en|Label Name|Name of the music label.|Horizontal|Text|6100|Left|200|Left||||Active||NULL|
maximumNumberOfPlayers|N|||integer||6|1||||||||||E|N|en|Max # of Players|Maximum number of players that can participate in the game.|Horizontal|Integer|6200|Left|200|Left||||Active||NULL|
minimumNumberOfPlayers|N|||integer||6|1||||||||||E|N|en|Min # of Players|Minimum number of players that can participate in the game.|Horizontal|Integer|6300|Left|200|Left||||Active||NULL|
nutritionalClaim|Y|||text||4000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Nutritional Claim|Attribute Name Key: nutritionalClaim<br>Free text field for any additional nutritional claims.|Horizontal|Text|6400|Left|200|Left|200|||Active||NULL|
percentageOfAlcoholPerVolume|N||1|float|38|38|15||||||||||E|N|en|Percentage of Alcohol per Volume|Percentage of alcohol contained in the base unit trade item. Should only apply at the base consumer unit level. May be a legal requirement in certain countries.|Horizontal|Float|6500|Left|200|Left||||Active||MANDATORY_BEFORE|
genreTypeCodeReference|Y||100|text||80|1|N|||||||||E|N|en|Product Genre|productGenre<br>Qualifier: ENT041<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Text|6600|Left|200|Left||||Active||NULL|
productSize/code|N|productSize|100|text||50|1|N|||||||||E|N|en|Product Size Code|The value from an industry specific code list required to identify the size of the trade item. Can be a combination of values which fully describes the trade item size.|LoopGroup|Text|6700|Left|200|Left||||Active||MANDATORY_BEFORE|
productSize/maintenanceAgency|N|productSize|100|text||3|1|N|ProductSizeCodeAgencies||||||||E|N|en|Product Size Code Maintenance Agency|The parties controlling the code list for size.|LoopGroup|Dropdown|6800|Left|200|Left||||Active||MANDATORY_BEFORE|
productSize/descriptiveSize|Y|productSize|100|text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Descriptive Size|The textual representation of all size dimensions concatenated into a single descriptor. <br>S, M, L, XL, 31 x 34, 29 x 32, etcetera.|LoopGroup|Text|6900|Left|200|Left||||Active||NULL|
studioName|Y||50|text||70|1|N|||||||||E|N|en|Studio Name|Name of the movie studio.|Horizontal|Text|7000|Left|200|Left||||Active||NULL|
totalRecyclableContentPercentage|N|||float|5|5|2||||||||||E|N|en|Total Recycled Content %|totalRecyclableContent<br>Qualifier: FFC002<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Float|7100|Left|200|Left||||Active||NULL|
audioVisualMediaProductTitle|N|||text||200|1||||||||||E|N|en|Product Title|Title of the audio visual media product.|Horizontal|Text|7200|Right|200|Left||||Active||NULL|
audioVisualMediaDateInformation/audioVisualMediaDateTime|N|audioVisualMediaDateInformation|100|datetime|||||||||||||E|N|en|Audio Visual Media Date|The date for audio or visual media products for example release date.|LoopGroup|DateTime|7300|Right|200|Left||||Active|O|NULL|
audioVisualMediaDateInformation/audioVisualMediaDateTypeCode|N|audioVisualMediaDateInformation|100|text||80|1||AudioVisualMediaDateTypeCode||||||||E|N|en|Audio Visual Media Date Type Code|A code specifying the type of date for audio or visual media products for example release date.|LoopGroup|DropDown|7400|Right|200|Left||||Active|O|NULL|
wmComputersMemoryCapacity|N|||float|30|30|15|||M|uom|text||60|1|WMMemoryCapacity2UOMVV|E|N|en|Memory Capacity|Random Access Memory is a type of computer data storage that allows information to be accessed in a random order. RAM is the most common type of memory found in computers and devices. Example: 16 GB; 1 TB (Please select a value from the drop-down below)|Horizontal|Float|7500|Left|200|Left||||Active||MANDATORY_BEFORE|
wmComputerComponentsMemoryCapacity|N|||float|30|30|15|||M|uom|text||60|1|WMMemoryCapacity2UOMVV|E|N|en|Memory Capacity|Random Access Memory is a type of computer data storage that allows information to be accessed in a random order. RAM is the most common type of memory found in computers and devices. Example: 16 GB; 1 TB (Please select a value from the drop-down below)|Horizontal|Float|7600|Left|200|Left||||Active||NULL|
allergenRelatedInformation|N||||||||||||||||E|N|en|Allergen Related Information Link|Allergen Related Information Link|Horizontal|FLEX_POPUP|7700|Left|200|Left||||Active||NULL|
nutrientInformation|N||||||||||||||||E|N|en|Nutrient Information Link|Nutrient Information Link|Horizontal|FLEX_POPUP|7800|Left|200|Left||||Active||NULL|
handlingInstructions/handlingInstructionCodeAgency|N|handlingInstructions|100|text||80|1|N|||||||||E|N|en|Handling Instructions Code Agency|IM: handlingInstructionsCodeAgency, GDSN: handlingInstructionsCodeAgency<br>An agency that maintains the handling instructions code.  NOTE: This attribute is intended to be used with the handling instructions code.|LoopGroup|Text|7900|Left|200|Left||||Active||NULL|
handlingInstructions/handlingInstructionCode|N|handlingInstructions|100|text||80|1|N|HandlingInstructionCode||||||||E|N|en|Handling Instruction Code|The information and processes needed to safely handle the product.|LoopGroup|Dropdown|8000|Left|200|Left||||Active||NULL|
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|8100|Left|200|Left||||Active||NULL|
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|8200|Left|205|Left||||Active||NULL|
tradeItemTemperatureInformation/temperatureQualifierCode|N|tradeItemTemperatureInformation|100|text||80|1||TemperatureQualifierCode||||||||E|N|en|Temperature Qualifier Code|Code qualifying the type of a temperature requirement for example Storage.|LoopGroup|DropDown|8300|Right|200|Left||||Active|O|NULL|
tradeItemTemperatureInformation/minimumTemperature|N|tradeItemTemperatureInformation|100|float|15|30|15|||M|uom|text||3|1|TemperatureUOM|E|N|en|Minimum Temperature|The minimum temperature that a trade item can be held below defined by the manufacturer without affecting product safety or quality.|LoopGroup|Float|8400|Right|200|Left||||Active|O|NULL|
tradeItemTemperatureInformation/maximumTemperature|N|tradeItemTemperatureInformation|100|float|15|30|15|||M|uom|text||3|1|TemperatureUOM|E|N|en|Maximum Temperature|The maximum temperature that a trade item can be held below defined by the manufacturer without affecting product safety or quality.|LoopGroup|Float|8500|Right|200|Left||||Active|O|NULL|
season/seasonCalendarYear|Y|season|100|text||4|4|N|||||||||E|N|en|Season Calendar Year|This element indicates the calendar year in which the trade item is seasonally available.This item is seasonally available in the year 2002.<br><br>European Requirement. This element applies to cases where the supplier has items in many different seasons or if multiple calendar years were involved. This attribute might be considered as an implementation attribute that could be done in different manners in the GDSN and in the one-to-one environment. Can be used for merchandising.|LoopGroup|Text|8600|Left|100|Left|15|||Active||NULL|
season/seasonName|Y|season|100|text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Season Name|This element defines the season applicable to the item.|LoopGroup|Text|8700|Left|100|Left|20|||Active||NULL|
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|8800|Left|200|Left||||Active||NULL|
