dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1000|Left|200|Left||||Active||NULL|
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|900|Left|200|Left||||Active||NULL|
avp/displayScreenType|Y||3|text||70|1|N|||||||||E|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|4200|Left|200|Left||||Active||NULL|
avp/quantityOfAudioChannels|N|||text||70|1|N|||||||||E|N|en|Quantity Of Audio Channels|quantityOfAudioChannels<br>Qualifier: AVP561<br>Indicates the product's number of channels for the audio system.|Horizontal|Text|4400|Left|200|Left||||Active||NULL|
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1800|Left|200|Left||||Active||NULL|
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1700|Left|200|Left||||Active||NULL|
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1600|Left|200|Left||||Active||NULL|
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|1100|Left|218|Left||||Active||NULL|
textileMaterial|N||||||||||||||||E|N|en|Textile Material Link|Textile Material Link|Horizontal|FLEX_POPUP|2100|Left|200|Left||||Active||NULL|
totalRecyclableContentPercentage|N|||float|5|5|2||||||||||E|N|en|Total Recycled Content %|totalRecyclableContent<br>Qualifier: FFC002<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Float|2900|Left|200|Left||||Active||NULL|
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|
unitsPerTradeItem|Y||100|float|15|15|15|||M|uom|text||5|2|uom|E|N|en|Units Per Trade Item|Number of units per Trade Item.|Horizontal|Float|3400|Left|200|Left|30|||Active||NULL|
wmBabyAgeGroup|Y||3|text||60|1||WMBabyAgeGroupVV||||||||E|N|en|Age Group|General grouping of ages into commonly used demographic labels.<br>Example: Child; Teen; Adult (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Multi_Select_List|1400|Left|200|Left|200|||Active||NULL|
wmBabyCapacity|N|||text||4000|1||||||||||E|N|en|Capacity|Please enter the text (Please enter text with 4000 character max)|Horizontal|Text|2000|Left|200|Left|200|||Active||NULL|
wmBabyCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A person or entity portrayed in print or visual media. A character might be a fictional personality or an actual living person. Example: Dora the Explorer; SpongeBob SquarePants (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3200|Left|200|Left|200|||Active||NULL|
wmBabyCondition|N|||text||4000|1||||||||||E|N|en|Condition|For refurbished items; used for non-perishables|Horizontal|Text|3000|Left|200|Left|200|||Active||NULL|
wmBabyDiaposableBabydiaperType|Y||3|text||4000|1||||||||||E|N|en|Disposable Baby diaper Type|Type of disposable diaper|Horizontal|Text|4600|Left|200|Left|200|||Active||NULL|
wmBabyFabricCareInstructions|Y||3|text||4000|1||||||||||E|N|en|Fabric Care Instructions|Enter details of the fabric care label.|Horizontal|Text|2200|Left|200|Left|200|||Active||NULL|
wmBabyFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left|200|||Active||NULL|
wmBabyGender|N|||text||60|1||WMGender2VV||||||||E|N|en|Gender|To specify target gender of the item. Example: Women; Men; Girls; Boys; Unisex (Please select a value from the drop-down below)|Horizontal|Dropdown|1300|Left|200|Left|200|||Active||NULL|
wmBabyIsDisposable|N|||boolean|||||||||||||E|N|en|Is Disposable|Indicates the item is intended for single use.|Horizontal|Boolean|3800|Left|200|Left||||Active||NULL|
wmBabyIsFairTrade|N|||boolean|||||||||||||E|N|en|Is Fair Trade|Indicates that the item is certified to be fairly traded. |Horizontal|Boolean|3900|Left|200|Left||||Active||NULL|
wmBabyIsMadeFromRecycledMaterial|N|||boolean|||||||||||||E|N|en|Is Made From Recycled Material|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2700|Left|200|Left||||Active||NULL|
wmBabyIsPersonalizable|N|||boolean|||||||||||||E|N|en|Is Personalizable|Denotes if the item can be customized in some way, including engraved, embroidered, stamped, etched, etc.  |Horizontal|Boolean|3500|Left|200|Left||||Active||NULL|
wmBabyIsPortable|N|||boolean|||||||||||||E|N|en|Is Portable|Is the item portable?|Horizontal|Boolean|3600|Left|200|Left||||Active||NULL|
wmBabyIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|
wmBabyIsReusable|N|||boolean|||||||||||||E|N|en|Is Reusable|Indicates the item can be used more than once. |Horizontal|Boolean|3700|Left|200|Left||||Active||NULL|
wmBabyManufacturerPartNumber|N|||text||4000|1||||||||||E|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|
wmBabyMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be denoted using the "Fabric Content" attribute. |Horizontal|Text|1900|Left|200|Left|200|||Active||NULL|
wmBabyMaximumRecommendedAge|N|||float|30|30|15|||M|uom|text||60|1|WMRecommendedAgeUOMVV|E|N|en|Maximum Recommended Age|Example: 6 months; 1 year (Please select a value from the drop-down below)|Horizontal|Float|2600|Left|200|Left|200|||Active||NULL|
wmBabyMaximumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight1UOMVV|E|N|en|Maximum Weight|Especially for use with outdoor play structures. Example: 220 lb (Please select a value from the drop-down below)|Horizontal|Float|2400|Left|200|Left|200|||Active||NULL|
wmBabyMinimumRecommendedAge|N|||float|30|30|15|||M|uom|text||60|1|WMRecommendedAgeUOMVV|E|N|en|Minimum Recommended Age|Example: 3 years; 5 years (Please select a value from the drop-down below)|Horizontal|Float|2500|Left|200|Left|200|||Active||NULL|
wmBabyMinimumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight1UOMVV|E|N|en|Minimum Weight|Especially for use with outdoor play structures. Example: 5 lb; 8 lb (Please select a value from the drop-down below)|Horizontal|Float|2300|Left|200|Left|200|||Active||NULL|
wmBabyOccasion|Y||3|text||4000|1||||||||||E|N|en|Occasion|The particular target time, event, or holiday for the product Example: Halloween; Christmas; Wedding; Anniversary (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3300|Left|200|Left|200|||Active||NULL|
wmBabyOrganicCertifications|Y||3|text||4000|1||||||||||E|N|en|Organic Certifications|Indicates that the item is certified organic by designating the certifying agent. |Horizontal|Text|4000|Left|200|Left|200|||Active||NULL|
wmBabyPattern|Y||3|text||4000|1||||||||||E|N|en|Pattern|Decorative design or visual ornamentation, often with a thematic, recurring motif. Example: Floral; Plaid; Paisley (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3100|Left|200|Left|200|||Active||NULL|
wmBabyRecommendedUses|Y||3|text||4000|1||||||||||E|N|en|Recommended Uses|Further clarification of what is the item may be used for.|Horizontal|Text|4500|Left|200|Left|200|||Active||NULL|
wmBabyScreenSize|N|||float|30|30|15|||M|uom|text||60|1|WMScreenSize2UOMVV|E|N|en|Screen Size|Typically measured on the diagonal in inches. Example: 42 in; 110 in; 5.6 in (Please select a value from the drop-down below)|Horizontal|Float|4300|Left|200|Left||||Active||NULL|
wmBabySport|Y||3|text||4000|1||||||||||E|N|en|Sport|If the game is sports-related, please provide the specific sport.<br> Example: Hiking; Wrestling; Olympic Sports; Cycling; Surfing; Basketball; Baseball; Rowing; Dance  Fitness (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|4100|Left|200|Left|200|||Active||NULL|
wmBabyVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left||||Active||NULL|
wmChildCarSeatsChildCarSeatType|N|||text||4000|1||||||||||E|N|en|Child Car Seat Type|Example: Convertible; Infant; Booster; Travel Systems (Please enter text with 4000 character max)|Horizontal|Text|4700|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmChildCarSeatsFacingDirection|N|||text||4000|1||||||||||E|N|en|Facing Direction|Which direction the car seat faces.|Horizontal|Text|4800|Left|200|Left|200|||Active||NULL|
wmChildCarSeatsForwardFacingMaximumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight1UOMVV|E|N|en|Forward-Facing Maximum Weight|Example: 65 lb (Please select a value from the drop-down below)|Horizontal|Float|5000|Left|200|Left|200|||Active||NULL|
wmChildCarSeatsForwardFacingMinimumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight1UOMVV|E|N|en|Forward-Facing Minimum Weight|Example: 20 lb (Please select a value from the drop-down below)|Horizontal|Float|4900|Left|200|Left|200|||Active||NULL|
wmChildCarSeatsHasLatchSystem|N|||boolean|||||||||||||E|N|en|Has LATCH System|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|5300|Left|200|Left||||Active||NULL|
wmChildCarSeatsRearFacingMaximumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight1UOMVV|E|N|en|Rear-Facing Maximum Weight|Example: 40 lb (Please select a value from the drop-down below)|Horizontal|Float|5200|Left|200|Left|200|||Active||NULL|
wmChildCarSeatsRearFacingMinimumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight1UOMVV|E|N|en|Rear-Facing Minimum Weight|Example: 5 lb (Please select a value from the drop-down below)|Horizontal|Float|5100|Left|200|Left|200|||Active||NULL|
wmRecycledMaterialContent/wmBabyRecycledMaterial|N|wmRecycledMaterialContent|3|text||4000|1||||||||||E|N|en|Recycled Material|Type of recycled material used to create the item. |LoopGroup|Text|2800|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmSwatchImages/wmBabySwatchImageUrl|N|wmSwatchImages|3|text||2000|1||||||||||E|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|
wmSwatchImages/wmBabySwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||E|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|
wmTargetConsumerAge|N|||text||60|1||WMTargetConsumerAgeVV||||||||E|N|en|Age Range|Example: 0-12 Months; 12-24 Months; 2-4 Years; 5-7 Years; 8-11 Years;|Horizontal|Dropdown|1500|Left|200|Left||||Active||NULL|
