dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1400|Left|200|Left||||Active||NULL|
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|1300|Left|200|Left||||Active||NULL|
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|2100|Left|200|Left||||Active||NULL|
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|
avp/additionalFeaturesOrIncludedAccessories|N|||text||250|1|N|||||||||E|N|en|Additional Features Or Included Accessories|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP129<br>Additional features or included accessories that are very product specific that are not covered by any other general attribute. This is a Free Form text, be specific as possible.|Horizontal|Text|3500|Left|200|Left||||Active||NULL|
avp/audioWattsPerChannel|N|||integer||4|1||||||||||E|N|en|Audio Watts Per Channel|audioWattsPerChannel<br>Qualifier: AVP149<br>Indicates the system power for the channels in the audio system. Measured in Watts.|Horizontal|Integer|3300|Left|200|Left||||Active||NULL|
avp/batterySize|N|||text||70|1|N|||||||||E|N|en|Battery Size|batterySize<br>Qualifier: AVP776<br>Indicates the size of the battery.|Horizontal|Text|2200|Left|200|Left||||Active||NULL|
avp/cableConnectionTypes|N|||text||70|1|N|||||||||E|N|en|Cable Connection Types|cableConnectionTypes<br>Qualifier: AVP167<br>Indicates the type of cable connections the product contains.|Horizontal|Text|2400|Left|200|Left||||Active||NULL|
avp/indoorOutdoorUse|N|||text||70|1|N|||||||||E|N|en|Indoor/Outdoor Use|indoorOutdoorUse<br>Qualifier: AVP433<br>Describes the location where the user is most likely to use the product.|Horizontal|Text|3200|Left|200|Left||||Active||NULL|
avp/isCordless|N|||boolean|||||||||||||E|N|en|Is Cordless?|isCordless<br>Qualifier: AVP446<br>Indicates whether or not the product is wireless; basically powered by battery.|Horizontal|Boolean|3000|Left|200|Left||||Active||NULL|
avp/isEnergyStarCompliant|N|||boolean|||||||||||||E|N|en|Is Energy Star Compliant?|isEnergyStarCompliant<br>Qualifier: AVP451<br>Indicates whether or not the product is Energy Star certified.|Horizontal|Boolean|2300|Left|200|Left||||Active||NULL|
avp/peakPowerHandlingWatts|N|||integer||8|1||||||||||E|N|en|Peak Power Handling Watts|peakPowerHandlingWatts<br>Qualifier: AVP539<br>Indicates the amount of power a speaker can handle during a brief musical burst. Measured in Watts.|Horizontal|Integer|3400|Left|200|Left||||Active||NULL|
avp/quantityOfAudioChannels|N|||text||70|1|N|||||||||E|N|en|Quantity Of Audio Channels|quantityOfAudioChannels<br>Qualifier: AVP561<br>Indicates the product's number of channels for the audio system.|Horizontal|Text|3600|Left|200|Left||||Active||NULL|
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|1000|Left|200|Left|40|||Active||MANDATORY_BEFORE|
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1900|Left|200|Left||||Active||NULL|
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1800|Left|200|Left||||Active||NULL|
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1700|Left|200|Left||||Active||NULL|
displayResolutionCode|N|||text||80|1|N|DisplayResolutionCode||||||||E|N|en|Display Resolution Code|IM: electricalUsageClassResolutionCode, GDSN: displayResolution<br>The display resolution of a television or computer display. This typically refers to the number of distinct pixels in each dimension that can be displayed.|Horizontal|Dropdown|3800|Left|200|Left||||Active||NULL|
genreTypeCodeReference|Y||100|text||80|1|N|||||||||E|N|en|Product Genre|productGenre<br>Qualifier: ENT041<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Text|4000|Left|200|Left||||Active||NULL|
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|1200|Left|200|Left||||Active||NULL|
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|1500|Left|242|Left||||Active||NULL|
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|
unitsPerTradeItem|Y||100|float|15|15|15|||M|uom|text||5|2|uom|E|N|en|Units Per Trade Item|Number of units per Trade Item.|Horizontal|Float|2600|Left|200|Left|30|||Active||NULL|
wmElectronicsAgeGroup|Y||3|text||60|1||WMAgeGroupVV||||||||E|N|en|Age Group|General grouping of ages into commonly used demographic labels. Example: Child; Teen; Adult (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Multi_Select_List|3700|Left|200|Left|200|||Active||NULL|
wmElectronicsEnergyGuideLabel|N|||text||2000|1||||||||||E|N|en|Energy Guide Label|Image URL of the energy guide label. |Horizontal|Text|700|Left|200|Left||||Active||NULL|
wmElectronicsFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|1100|Left|200|Left|200|||Active||NULL|
wmElectronicsHasSignalBooster|N|||boolean|||||||||||||E|N|en|Has Signal Booster|Denotes if any portion of the item has a signal booster. This information will be displayed on the item page. |Horizontal|Boolean|800|Left|200|Left||||Active||MANDATORY_BEFORE|
wmElectronicsHasWirelessMicrophone|N|||boolean|||||||||||||E|N|en|Has Wireless Microphone|Denotes if any portion of the item has a wireless microphone. This information will be displayed on the item page. |Horizontal|Boolean|900|Left|200|Left||||Active||MANDATORY_BEFORE|
wmElectronicsIsEnergyGuideLabelRequired|N|||boolean|||||||||||||E|N|en|Is Energy Guide Label Required|Denotes whether the label is required for the item. The FTC’s Appliance Labeling Rule requires retailers to display energy cost information for certain refrigerators, freezers, furnaces, televisions, clothes washers, dishwashers, water heaters, pool heaters, and room air conditioners.|Horizontal|Boolean|600|Left|200|Left||||Active||MANDATORY_BEFORE|
wmElectronicsIsPersonalizable|N|||boolean|||||||||||||E|N|en|Is Personalizable|Denotes if the item can be customized in some way, including engraved, embroidered, stamped, etched, etc. |Horizontal|Boolean|2800|Left|200|Left||||Active||NULL|
wmElectronicsIsPortable|N|||boolean|||||||||||||E|N|en|Is Portable|Is the item portable?|Horizontal|Boolean|2900|Left|200|Left||||Active||NULL|
