dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1000|Left|200|Left||||Active||NULL|
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|900|Left|200|Left||||Active||NULL|
avp/shape|N|||text||70|1|N|||||||||E|N|en|Shape|shape<br>Qualifier: AVP649<br>Indicates the shape of the product.|Horizontal|Text|2500|Left|200|Left||||Active||NULL|
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1900|Left|200|Left||||Active||NULL|
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1800|Left|200|Left||||Active||NULL|
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1700|Left|200|Left||||Active||MANDATORY_BEFORE|
consumerStorageInstructions|Y||25|text||1000|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Consumer Usage Storage Instructions|Expresses in text the consumer storage and usage instructions of a product which are normally held on the label or accompanying the product. This information may or may not be labeled on the pack. Instructions may refer to a suggested storage temperature.|Horizontal|Text|5000|Left|200|Left|200|||Active||NULL|
externalFileLink/uniformResourceIdentifier|N|externalFileLink|100|text||512|1|N|||||||||E|N|en|Uniform Resource Identifier|Simple text string that refers to a resource on the internet (URLs).|LoopGroup|Text|5300|Left|100|Left|50|||Active||NULL|
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|
numberOfServingsPerPackage|N|||float|15|15|1||||||||||E|N|en|Number Of Servings Per Package|The total number of servings contained in the package.|Horizontal|Float|4300|Left|200|Left||||Active||NULL|
nutrientInformation|N||||||||||||||||E|N|en|Nutrient Information Link|Nutrient Information Link|Horizontal|FLEX_POPUP|4200|Left|200|Left||||Active||NULL|
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|1100|Left|258|Left||||Active||NULL|
textileMaterial|N||||||||||||||||E|N|en|Textile Material Link|Textile Material Link|Horizontal|FLEX_POPUP|2200|Left|200|Left||||Active||NULL|
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|
unitsPerTradeItem|Y||100|float|15|15|15|||M|uom|text||5|2|uom|E|N|en|Units Per Trade Item|Number of units per Trade Item.|Horizontal|Float|2400|Left|200|Left|30|||Active||NULL|
wmActiveIngredients/wmMedicineSupplementsActiveIngredientName|N|wmActiveIngredients|3|text||4000|1||||||||||E|N|en|Active Ingredient Name|Ingredient name. Example: Benzoyl Peroxide (Please enter text with 4000 character max)|LoopGroup|Text|4400|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmActiveIngredients/wmMedicineSupplementsActiveIngredientPercentage|N|wmActiveIngredients|3|float|40|40|20|||M|uom|text||60|1|WMPercentageUOMVV|E|N|en|Active Ingredient Percentage|The percent of the active ingredient in the item.|LoopGroup|Float|4500|Left|200|Left||||Active||NULL|
wmDosage|N|||text||4000|1||||||||||E|N|en|Dosage|Example: 1 teaspoon every 6 hours (Please enter text with 4000 character max)|Horizontal|Text|5200|Left|200|Left||||Active||NULL|
wmHealthBeautyAgeGroup|Y||3|text||60|1||WMAgeGroupVV||||||||E|N|en|Age Group|General grouping of ages into commonly used demographic labels. Example: Child; Teen; Adult (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Multi_Select_List|1600|Left|200|Left|200|||Active||NULL|
wmHealthBeautyBodyParts|Y||3|text||4000|1||||||||||E|N|en|Body Parts|The body part/s for which the item is intended. |Horizontal|Text|3500|Left|200|Left|200|||Active||NULL|
wmHealthBeautyCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A person or entity portrayed in print or visual media. A character might be a fictional personality or an actual living person. Example: Dora the Explorer; SpongeBob SquarePants (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|2700|Left|200|Left|200|||Active||NULL|
wmHealthBeautyCleaningCareAndMaintenance|N|||text||4000|1||||||||||E|N|en|Cleaning, Care & Maintenance|Description of how the item should be cleaned and maintained. |Horizontal|Text|3600|Left|200|Left|200|||Active||NULL|
wmHealthBeautyCollection|N|||text||4000|1||||||||||E|N|en|Collection|A collection is a particular group of items that have the same visual style, made by the same brand.  |Horizontal|Text|1300|Left|200|Left|200|||Active||NULL|
wmHealthBeautyCompatibleBrands|Y||3|text||4000|1||||||||||E|N|en|Compatible Brands|A list of the brands most commonly compatible with the item.|Horizontal|Text|2600|Left|200|Left|200|||Active||NULL|
wmHealthBeautyFabricCareInstructions|Y||3|text||4000|1||||||||||E|N|en|Fabric Care Instructions|Enter details of the fabric care label.|Horizontal|Text|2300|Left|200|Left|200|||Active||NULL|
wmHealthBeautyFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|
wmHealthBeautyFlexibleSpendingAccountEligible|N|||boolean|||||||||||||E|N|en|Flexible Spending Account-Eligible|Indicates if item is FSA-Eligible. |Horizontal|Boolean|1400|Left|200|Left||||Active||NULL|
wmHealthBeautyGender|N|||text||60|1||WMGender1VV||||||||E|N|en|Gender|To specify target gender of the item. Example: Women; Men; Girls; Boys; Unisex (Please select a value from the drop-down below)|Horizontal|Dropdown|1500|Left|200|Left|200|||Active||NULL|
wmHealthBeautyIsAdultProduct|N|||boolean|||||||||||||E|N|en|Is Adult Product|Indicates if item is adult in nature and should not appear in results for children's products.|Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|
wmHealthBeautyIsDisposable|N|||boolean|||||||||||||E|N|en|Is Disposable|Indicates the item is intended for single use.|Horizontal|Boolean|3100|Left|200|Left||||Active||NULL|
wmHealthBeautyIsPersonalizable|N|||boolean|||||||||||||E|N|en|Is Personalizable|Denotes if the item can be customized in some way, including engraved, embroidered, stamped, etched, etc.  |Horizontal|Boolean|2800|Left|200|Left||||Active||NULL|
wmHealthBeautyIsPortable|N|||boolean|||||||||||||E|N|en|Is Portable|Is the item portable?|Horizontal|Boolean|2900|Left|200|Left||||Active||NULL|
wmHealthBeautyIsPowered|N|||boolean|||||||||||||E|N|en|Is Powered|Indicates that an item is powered.|Horizontal|Boolean|3300|Left|200|Left||||Active||NULL|
wmHealthBeautyIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|
wmHealthBeautyIsReusable|N|||boolean|||||||||||||E|N|en|Is Reusable|Indicates the item can be used more than once. |Horizontal|Boolean|3000|Left|200|Left||||Active||NULL|
wmHealthBeautyIsSet|N|||boolean|||||||||||||E|N|en|Is Set|Please indicate whether this product consists of two or more items sold together as a set. (example: lipstick + lip-liner) Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|3700|Left|200|Left||||Active||NULL|
wmHealthBeautyIsTravelSize|N|||boolean|||||||||||||E|N|en|Is Travel Size|Please indicate whether the product is a smaller version of a larger-sized product. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|3800|Left|200|Left||||Active||NULL|
wmHealthBeautyManufacturerPartNumber|N|||text||4000|1||||||||||E|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number.|Horizontal|Text|1200|Left|200|Left|200|||Active||NULL|
wmHealthBeautyMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be denoted using the "Fabric Content" attribute. |Horizontal|Text|2100|Left|200|Left|200|||Active||NULL|
wmHealthBeautyPowerType|N|||text||4000|1||||||||||E|N|en|Power Type|Provides information on the exact type of power used by the item.|Horizontal|Text|3400|Left|200|Left|200|||Active||NULL|
wmHealthBeautyRecommendedUses|Y||3|text||4000|1||||||||||E|N|en|Recommended Uses|Further clarification of what is the item may be used for.|Horizontal|Text|3200|Left|200|Left|200|||Active||NULL|
wmHealthBeautyVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|
wmMedicineSupplementsDrugFactsLabel|N|||text||2000|1||||||||||E|N|en|Drug Facts Label|URL of the location of the label.|Horizontal|Text|4000|Left|200|Left|200|||Active||NULL|
wmMedicineSupplementsForm|N|||text||4000|1||||||||||E|N|en|Form|Describes the way the item is dispensed or consumed, including its texture or other physical characteristics. |Horizontal|Text|4800|Left|200|Left|200|||Active||NULL|
wmMedicineSupplementsHealthConcerns|Y||3|text||4000|1||||||||||E|N|en|Health Concerns|Example: Cold; Fever; Allergy; Prenatal (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|4700|Left|200|Left|200|||Active||NULL|
wmMedicineSupplementsInactiveIngredients|Y||3|text||4000|1||||||||||E|N|en|Inactive Ingredients|The list of inactive ingredients in order of potency, as shown on the item label. |Horizontal|Text|4600|Left|200|Left|200|||Active||NULL|
wmMedicineSupplementsIsDrugFactsLabelRequired|N|||boolean|||||||||||||E|N|en|Is Drug Facts Label Required|Indicates if item requires drug facts labeling.|Horizontal|Boolean|3900|Left|200|Left||||Active||MANDATORY_BEFORE|
wmMedicineSupplementsIsSupplementFactsLabelRequired|N|||boolean|||||||||||||E|N|en|Is Supplement Facts Label Required|Indicates if item requires supplement facts labeling.|Horizontal|Boolean|4100|Left|200|Left||||Active||MANDATORY_BEFORE|
wmMedicineSupplementsOrganicCertifications|Y||3|text||4000|1||||||||||E|N|en|Organic Certifications|Indicates that the item is certified organic by designating the certifying agent. Example: EU Organic; Global Organic Textile Standard (GOTS); Oregon Tilth Certified Organic (OTCO); California Certified Organic; Farmers (CCOF); USDA Organic; Ecocert; Farm Verified Organic (FVO); OCIA-Certified Organic; QIA Organic; Canadian Organic Standards (COS) (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|4900|Left|200|Left|200|||Active||NULL|
wmMedicineSupplementsStopUseIndications|Y||3|text||4000|1||||||||||E|N|en|Stop Use Indications|Example: Stop using immediately if you experience severe burning, itching... (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|5100|Left|200|Left|200|||Active||NULL|
wmSwatchImages/wmHealthBeautySwatchImageUrl|N|wmSwatchImages|3|text||2000|1||||||||||E|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|
wmSwatchImages/wmHealthBeautySwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||E|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|
