dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
audioVisualMediaContentInformation|N||||||||||||||||E|N|en|Audio Visual Media Content Information|Information on the media included in the package for the purposes of storing the software, games, music, films.|Horizontal|FLEX_POPUP|3500|Left|200|Left||||Active||NULL|
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|3000|Left|200|Left||||Active||NULL|
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|2900|Left|200|Left||||Active||NULL|
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|2800|Left|200|Left||||Active||NULL|
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|
wmBooksMagazinesAuthor|Y||3|text||4000|1||||||||||E|N|en|Author|The name (or pseudonym) of the person who wrote a book, as written on the cover and/or title page.|Horizontal|Text|1100|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesBookFormat|N|||text||4000|1||||||||||E|N|en|Book Format|Example: Paperback; Hardcover; eBook; Audiobook; Board Book (Please enter text with 4000 character max)|Horizontal|Text|800|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmBooksMagazinesCondition|N|||text||4000|1||||||||||E|N|en|Condition|For refurbished items; used for non-perishables|Horizontal|Text|3400|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesEdition|N|||text||4000|1||||||||||E|N|en|Edition|The specific edition of the item. |Horizontal|Text|2000|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesEditor|N|||text||4000|1||||||||||E|N|en|Editor|The person or entity responsible for choosing the collection of stories or articles in a book or magazine, as printed on the title page, or a magazine masthead|Horizontal|Text|1200|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesFictionNonfiction|N|||text||60|1||WMFictionNonfictionVV||||||||E|N|en|Fiction/Nonfiction|Example: Fiction; Non-Fiction (Please select a value from the drop-down below)|Horizontal|Dropdown|1700|Left|200|Left||||Active||NULL|
wmBooksMagazinesGender|N|||text||60|1||WMGender2VV||||||||E|N|en|Gender|To specify target gender of the item. Example: Women; Men; Girls; Boys; Unisex (Please select a value from the drop-down below)|Horizontal|Dropdown|3100|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesGenre|N|||text||4000|1||||||||||E|N|en|Genre|The general book or magazine category. |Horizontal|Text|900|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmBooksMagazinesIllustrator|N|||text||4000|1||||||||||E|N|en|Illustrator|The person credited with drawing illustrations within a printed work|Horizontal|Text|1300|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesIssue|N|||text||4000|1||||||||||E|N|en|Issue|For an ongoing serial publication, the specific issue, as named by the publication, usually either month and year, or issue and volume number.|Horizontal|Text|2500|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesIsUnabridged|N|||boolean|||||||||||||E|N|en|Is Unabridged|Indicates that the item is the complete original work with no omissions.|Horizontal|Boolean|1900|Left|200|Left||||Active||NULL|
wmBooksMagazinesMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be denoted using the "Fabric Content" attribute. |Horizontal|Text|3200|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesNumberInSeries|N|||integer||7|1||||||||||E|N|en|Number in Series|The number in the series, if the work is one of multiple works in a series.|Horizontal|Integer|2700|Left|200|Left||||Active||NULL|
wmBooksMagazinesNumberOfPages|N|||integer||7|1||||||||||E|N|en|Number of Pages|Number of pages within a printed work. |Horizontal|Integer|2400|Left|200|Left||||Active||NULL|
wmBooksMagazinesOriginalPublicationDate|N|||date|||||||||||||E|N|en|Original Publication Date|Date that a printed work was first published, if different from the publication date of the current edition. |Horizontal|Date|2100|Left|200|Left||||Active||NULL|
wmBooksMagazinesPattern|Y||3|text||4000|1||||||||||E|N|en|Pattern|Decorative design or visual ornamentation, often with a thematic, recurring motif. Example: Floral; Plaid; Paisley (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3300|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesPublicationDate|N|||date|||||||||||||E|N|en|Publication Date|Date of publication for the current edition. |Horizontal|Date|2200|Left|200|Left||||Active||NULL|
wmBooksMagazinesPublisher|N|||text||4000|1||||||||||E|N|en|Publisher|Publishing company as printed or displayed on the cover or title page. |Horizontal|Text|1400|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesReadingLevel|N|||text||4000|1||||||||||E|N|en|Reading Level|The intended age or grade-level for a printed work. |Horizontal|Text|2300|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesSeriesTitle|N|||text||4000|1||||||||||E|N|en|Series Title|If the work is one of multiple works in a series, the title of the series or collection. |Horizontal|Text|2600|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesSubgenre|N|||text||4000|1||||||||||E|N|en|Subgenre|The more specific book or magazine subcategory. |Horizontal|Text|1000|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesSubject|N|||text||4000|1||||||||||E|N|en|Subject|The "aboutness" of an item, distinct from the genre. It may be the subject of a documentary, nonfiction book, or art print.|Horizontal|Text|1800|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesTranslatedFrom|N|||text||4000|1||||||||||E|N|en|Translated From|The original language that a work was translated from. |Horizontal|Text|1600|Left|200|Left|200|||Active||NULL|
wmBooksMagazinesTranslator|N|||text||4000|1||||||||||E|N|en|Translator|The person credited with translating the book from the original language into the language of the current edition.|Horizontal|Text|1500|Left|200|Left|200|||Active||NULL|
wmMediaCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A real or fictional person associated with an item.|Horizontal|Text|600|Left|200|Left|200|||Active||NULL|
wmMediaIsAdultProduct|N|||boolean|||||||||||||E|N|en|Is Adult Product|Indicates if item is adult in nature and should not appear in results for children's products.|Horizontal|Boolean|400|Left|200|Left||||Active||MANDATORY_BEFORE|
wmMediaIsDownloadableContentAvailable|N|||boolean|||||||||||||E|N|en|Is Downloadable Content Available|Is extra content available to extend/enhance the experience through a download?|Horizontal|Boolean|700|Left|200|Left||||Active||NULL|
wmMediaIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|
wmMediaTargetAudience|Y||3|text||60|1||WMTargetAudienceVV||||||||E|N|en|Target Audience|The demographic for which the item is intended. |Horizontal|Multi_Select_List|500|Left|200|Left|200|||Active||NULL|
wmMediaVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|200|Left|200|Left|200|||Active||NULL|
