dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|
wmMediaVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|200|Left|200|Left|200|||Active||NULL|
wmMediaIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|
wmMediaIsAdultProduct|N|||boolean|||||||||||||E|N|en|Is Adult Product|Indicates if item is adult in nature and should not appear in results for children's products.|Horizontal|Boolean|400|Left|200|Left||||Active||MANDATORY_BEFORE|
wmMediaTargetAudience|Y||3|text||60|1||WMTargetAudienceVV||||||||E|N|en|Target Audience|The demographic for which the item is intended. |Horizontal|Multi_Select_List|500|Left|200|Left|200|||Active||NULL|
wmMediaCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A real or fictional person associated with an item.|Horizontal|Text|600|Left|200|Left|200|||Active||NULL|
wmMediaIsDownloadableContentAvailable|N|||boolean|||||||||||||E|N|en|Is Downloadable Content Available|Is extra content available to extend/enhance the experience through a download?|Horizontal|Boolean|700|Left|200|Left||||Active||NULL|
wmMpaaRating|N|||text||60|1||WMMPAARatingVV||||||||E|N|en|MPAA Rating|Motion Picture Association of America Rating|Horizontal|Dropdown|800|Left|200|Left||||Active||MANDATORY_BEFORE|
genreTypeCodeReference|Y||100|text||80|1|N|||||||||E|N|en|Product Genre|productGenre<br>Qualifier: ENT041<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Text|900|Left|200|Left||||Active||NULL|
wmMoviesMovieSubgenre|N|||text||4000|1||||||||||E|N|en|Movie Subgenre|More specific film subcategory.|Horizontal|Text|1000|Left|200|Left|200|||Active||NULL|
studioName|Y||50|text||70|1|N|||||||||E|N|en|Studio Name|Name of the movie studio.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
wmMoviesSeriesTitle|N|||text||4000|1||||||||||E|N|en|Series Title|If the work is one of multiple works in a series, the title of the series or collection. |Horizontal|Text|1200|Left|200|Left|200|||Active||NULL|
wmMoviesNumberInSeries|N|||integer||7|1||||||||||E|N|en|Number in Series|The number in the series, if the work is one of multiple works in a series.|Horizontal|Integer|1300|Left|200|Left||||Active||NULL|
avp/aspectRatio|N|||text||70|1|N|||||||||E|N|en|Aspect Ratio|avpAspectRatio<br>Qualifier: AVP147<br>Indicates the dimensions of a TV; whether of not it is wide screen or standard.|Horizontal|Text|1400|Left|200|Left||||Active||NULL|
wmMoviesVideoStreamingQuality|N|||text||4000|1||||||||||E|N|en|Video Streaming Quality|The video resolution quality while streaming. |Horizontal|Text|1500|Left|200|Left|200|||Active||NULL|
audioSoundTypeCode|Y||100|text||60|1|N|MOVAudioSoundType||||||||E|N|en|Audio Sound Type Code|audioSoundTypeCode<br>Qualifier: ENT053<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Multi_Select_List|1600|Left|200|Left||||Active||NULL|
wmMoviesDuration|N|||float|30|30|15|||M|uom|text||60|1|WMDurationUOMVV|E|N|en|Duration|Viewing or listening time.|Horizontal|Float|1700|Left|200|Left|200|||Active||NULL|
wmMoviesDvdReleaseDate|N|||date|||||||||||||E|N|en|DVD Release Date|Date that the film or TV show was released on DVD.|Horizontal|Date|1800|Left|200|Left||||Active||NULL|
wmMoviesIsDubbed|N|||boolean|||||||||||||E|N|en|Is Dubbed|A film or television show is dubbed if there is an audio track that replaces the voices of the original actors with a different language Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|1900|Left|200|Left||||Active||NULL|
wmMoviesHasSubtitles|N|||boolean|||||||||||||E|N|en|Has Subtitles|A film or television show has subtitles if there is a transcript or screenplay of the dialog or commentary displayed on the screen. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|2000|Left|200|Left||||Active||NULL|
audioVisualMediaContentInformation|N||||||||||||||||E|N|en|Audio Visual Media Content Information|Information on the media included in the package for the purposes of storing the software, games, music, films.|Horizontal|FLEX_POPUP|2100|Left|200|Left||||Active||NULL|
