dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
alternateItemIdentification/agency|N|alternateItemIdentification|100|text||60|1|N|AlternateItemIdentificationAgency_hub||||||||E|N|en|Alternate Item Identification Agency|1SYNC Item Management allows an alternate maintenance agency (for example for an internal manufacturing number).|LoopGroup|DropDown|1000|Left|200|Left||||Active||NULL|
alternateItemIdentification/id|N|alternateItemIdentification|100|text||80|1|N|||||||||E|N|en|Alternate Item Identification|An alternate item number is allowed, but not required.|LoopGroup|Text|900|Left|200|Left||||Active||NULL|
avp/shape|N|||text||70|1|N|||||||||E|N|en|Shape|shape<br>Qualifier: AVP649<br>Indicates the shape of the product.|Horizontal|Text|3200|Left|200|Left||||Active||NULL|
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|600|Left|200|Left|40|||Active||MANDATORY_BEFORE|
color/agency|N|color|100|text||80|1|N|ColorCodeMaintAgency_hub||||||||E|N|en|Color Code Maintenance Agency|The party responsible for maintaining the color code list used for the "Color" field.|LoopGroup|Dropdown|1800|Left|200|Left||||Active||NULL|
color/code|N|color|100|text||40|1|N|||||||||E|N|en|Color Info Code|Indicates the color of the trade item in this field.|LoopGroup|Text|1700|Left|200|Left||||Active||NULL|
color/description|N|color|100|text||80|1|Y|||||||||E|N|en|Product Color Description|Free text description of the color of the trade item. Type/Size Occurrence Lang Specific|LoopGroup|Text|1600|Left|200|Left||||Active||NULL|
isAssemblyRequired|N|||boolean|||||||||||||E|N|en|Assembly Required|Indicates that the Items in the package need to be assembled for use.|Horizontal|Boolean|1400|Left|200|Left||||Active||NULL|
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|
partyInRole|N||||||||||||||||E|N|en|Party In Role Link|The identification of a party, by GLN, in a specific party role.|Horizontal|FLEX_POPUP|1100|Left|275|Left||||Active||NULL|
textileMaterial|N||||||||||||||||E|N|en|Textile Material Link|Textile Material Link|Horizontal|FLEX_POPUP|3400|Left|200|Left||||Active||NULL|
totalRecyclableContentPercentage|N|||float|5|5|2||||||||||E|N|en|Total Recycled Content %|totalRecyclableContent<br>Qualifier: FFC002<br>Refer to IM Participant Dictionary for more information regarding this field.|Horizontal|Float|4400|Left|200|Left||||Active||NULL|
tradeItemGroupIdentification/tradeItemGroupIdentificationCodeReference|N|tradeItemGroupIdentification|100|text||80|1|N|||||||||E|N|en|Trade Item Group Code|A code assigned by the supplier or manufacturer to logically group trade item independently from the Global trade item Classification.|LoopGroup|Text|100|Left|200|Left||||Active||NULL|
unitsPerTradeItem|Y||100|float|15|15|15|||M|uom|text||5|2|uom|E|N|en|Units Per Trade Item|Number of units per Trade Item.|Horizontal|Float|2700|Left|200|Left|30|||Active||NULL|
wmDecorationsFavorsAgeGroup|Y||3|text||60|1||WMAgeGroupVV||||||||E|N|en|Age Group|General grouping of ages into commonly used demographic labels. Example: Child; Teen; Adult (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Multi_Select_List|3000|Left|200|Left|200|||Active||NULL|
wmDecorationsFavorsCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A person or entity portrayed in print or visual media. A character might be a fictional personality or an actual living person. Example: Dora the Explorer; SpongeBob SquarePants (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3100|Left|200|Left|200|||Active||NULL|
wmDecorationsFavorsFinish|N|||text||4000|1||||||||||E|N|en|Finish|Overall finish of the item.|Horizontal|Text|4600|Left|200|Left|200|||Active||NULL|
wmDecorationsFavorsGender|N|||text||60|1||WMGender1VV||||||||E|N|en|Gender|To specify target gender of the item. Example: Women; Men; Girls; Boys; Unisex (Please select a value from the drop-down below)|Horizontal|Dropdown|2900|Left|200|Left|200|||Active||NULL|
wmDecorationsFavorsIsAdultProduct|N|||boolean|||||||||||||E|N|en|Is Adult Product|Indicates if item is adult in nature and should not appear in results for children. |Horizontal|Boolean|3500|Left|200|Left||||Active||MANDATORY_BEFORE|
wmDecorationsFavorsIsAnimated|N|||boolean|||||||||||||E|N|en|Is Animated|Indicates that a product has powered, moving parts.|Horizontal|Boolean|4100|Left|200|Left||||Active||NULL|
wmDecorationsFavorsIsInflatable|N|||boolean|||||||||||||E|N|en|Is Inflatable|Indicates that an item can be inflated.|Horizontal|Boolean|4000|Left|200|Left||||Active||NULL|
wmDecorationsFavorsIsMadeFromRecycledMaterial|N|||boolean|||||||||||||E|N|en|Is Made From Recycled Material|Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|4200|Left|200|Left||||Active||NULL|
wmDecorationsFavorsIsPersonalizable|N|||boolean|||||||||||||E|N|en|Is Personalizable|Denotes if the item can be customized in some way, including engraved, embroidered, stamped, etched, etc.  |Horizontal|Boolean|3900|Left|200|Left||||Active||NULL|
wmDecorationsFavorsIsPowered|N|||boolean|||||||||||||E|N|en|Is Powered|Indicates that an item is powered.|Horizontal|Boolean|3600|Left|200|Left||||Active||NULL|
wmDecorationsFavorsIsRecyclable|N|||boolean|||||||||||||E|N|en|Is Recyclable|Recycle is the act of processing used or abandoned materials for use in creating new products or capable of being used again.|Horizontal|Boolean|4500|Left|200|Left||||Active||NULL|
wmDecorationsFavorsMakesNoise|N|||boolean|||||||||||||E|N|en|Makes Noise|Indicates that the item has a noise-making feature, such as a squeaky toy. |Horizontal|Boolean|3800|Left|200|Left||||Active||NULL|
wmDecorationsFavorsPowerType|N|||text||4000|1||||||||||E|N|en|Power Type|Provides information on the exact type of power used by the item.|Horizontal|Text|3700|Left|200|Left|200|||Active||NULL|
wmDecorationsFavorsTargetAudience|Y||3|text||4000|1||||||||||E|N|en|Target Audience|The demographic for which the item is targeted. Example: Family; Parties; Kids (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|2800|Left|200|Left|200|||Active||NULL|
wmDecorationsFavorsTheme|Y||3|text||4000|1||||||||||E|N|en|Theme|A dominant idea carried in an artwork or piece of furniture Example: Animals  Insects; Automobiles; Space; Baseball; Princesses; (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|3300|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalAssemblyInstructions|N|||text||2000|1||||||||||E|N|en|Assembly Instructions|URL location showing assembly instructions for items requiring assembly.  |Horizontal|Text|1500|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalFabricCareInstructions|Y||3|text||4000|1||||||||||E|N|en|Fabric Care Instructions|Enter details of the fabric care label.|Horizontal|Text|1300|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalFactoryId|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|700|Left|200|Left||||Active||NULL|
wmOccasionSeasonalHolidayLightingStyle|Y||3|text||4000|1||||||||||E|N|en|Holiday Lighting Style|Example: Blinking Lights; String Lights (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|2000|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|
wmOccasionSeasonalLightBulbType|N|||text||4000|1||||||||||E|N|en|Light Bulb Type|Example: Incandescent; Halogen;  LED (Please enter text with 4000 character max)|Horizontal|Text|2100|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalManufacturerPartNumber|N|||text||4000|1||||||||||E|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number.|Horizontal|Text|1200|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be denoted using the "Fabric Content" attribute. |Horizontal|Text|2200|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalOccasion|Y||3|text||4000|1||||||||||E|N|en|Occasion|The particular target time, event, or holiday for the product Example: Halloween; Christmas; Wedding; Anniversary (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|1900|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmOccasionSeasonalPattern|Y||3|text||4000|1||||||||||E|N|en|Pattern|Decorative design or visual ornamentation, often with a thematic, recurring motif.|Horizontal|Text|2300|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalPowerType|N|||text||4000|1||||||||||E|N|en|Power Type|Provides information on the exact type of power used by the item.|Horizontal|Text|2400|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalRecommendedUses|Y||3|text||4000|1||||||||||E|N|en|Recommended Uses|Further clarification of what is the item may be used for.|Horizontal|Text|2500|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|400|Left|200|Left|200|||Active||NULL|
wmOccasionSeasonalWatts|N|||float|30|30|15|||M|uom|text||60|1|WMWattsUOMVV|E|N|en|Watts|The peak audio input power capacity this passive item can handle from an amplifier, expressed in Watts. A passive item (device, speaker, etc) has no internal amplifier; it must be plugged into a power amplifier to produce sound. Example: 400 W; 1500 W (Please select a value from the drop-down below)|Horizontal|Float|2600|Left|200|Left|200|||Active||NULL|
wmRecycledMaterialContent/wmDecorationsFavorsRecycledMaterial|N|wmRecycledMaterialContent|3|text||4000|1||||||||||E|N|en|Recycled Material|Type of recycled material used to create the item. |LoopGroup|Text|4300|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmSwatchImages/wmOccasionSeasonalSwatchImageUrl|N|wmSwatchImages|3|text||2000|1||||||||||E|N|en|Swatch Image URL|URL of the color or pattern swatch image. This will be shown as a small square on the item page. Recommended resolution is 100 x 100 pixels. URLs must begin with http:// or https://|LoopGroup|Text|200|Left|50|Left|200|||Active||MANDATORY_BEFORE|
wmSwatchImages/wmOccasionSeasonalSwatchVariantAttribute|N|wmSwatchImages|3|text||4000|1||||||||||E|N|en|Swatch Variant Attribute|Attribute name corresponding to the swatch. |LoopGroup|Text|300|Left|50|Left|200|||Active||MANDATORY_BEFORE|
