dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
wmAccessoriesCasesBagsScreenSize|N|||float|30|30|15|||M|uom|text||60|1|WMScreenSize2UOMVV|E|N|en|Screen Size|Typically measured on the diagonal in inches. Example: 42 in; 110 in; 5.6 in (Please select a value from the drop-down below)|Horizontal|Float|29500|Left|200|Left||||Active||NULL|
wmActiveIngredients/wmAnimalAnimalHealthGroomingActiveIngredientName|N|wmActiveIngredients|3|text||4000|1||||||||||E|N|en|Active Ingredient Name|Ingredient name. |LoopGroup|Text|9900|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmActiveIngredients/wmAnimalAnimalHealthGroomingActiveIngredientPercentage|N|wmActiveIngredients|3|float|40|40|20|||M|uom|text||60|1|WMPercentageUOMVV|E|N|en|Active Ingredient Percentage|The percent of the active ingredient in the item.|LoopGroup|Float|10000|Left|200|Left||||Active||NULL|
wmActiveIngredients/wmBuildingSupplyActiveIngredientName|N|wmActiveIngredients|3|text||4000|1||||||||||E|N|en|Active Ingredient Name|Ingredient name. Example: Benzoyl Peroxide (Please enter text with 4000 character max)|LoopGroup|Text|10700|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmActiveIngredients/wmBuildingSupplyActiveIngredientPercentage|N|wmActiveIngredients|3|float|40|40|20|||M|uom|text||60|1|WMPercentageUOMVV|E|N|en|Active Ingredient Percentage|The percent of the active ingredient in the item.|LoopGroup|Float|10800|Left|200|Left||||Active||NULL|
wmActiveIngredients/wmCleaningChemicalActiveIngredientName|N|wmActiveIngredients|3|text||4000|1||||||||||E|N|en|Active Ingredient Name|Ingredient name. Example: Benzoyl Peroxide (Please enter text with 4000 character max)|LoopGroup|Text|10500|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmActiveIngredients/wmCleaningChemicalActiveIngredientPercentage|N|wmActiveIngredients|3|float|40|40|20|||M|uom|text||60|1|WMPercentageUOMVV|E|N|en|Active Ingredient Percentage|The percent of the active ingredient in the item.|LoopGroup|Float|10600|Left|200|Left||||Active||NULL|
wmActiveIngredients/wmMedicineSupplementsActiveIngredientName|N|wmActiveIngredients|3|text||4000|1||||||||||E|N|en|Active Ingredient Name|Ingredient name. Example: Benzoyl Peroxide (Please enter text with 4000 character max)|LoopGroup|Text|10300|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmActiveIngredients/wmMedicineSupplementsActiveIngredientPercentage|N|wmActiveIngredients|3|float|40|40|20|||M|uom|text||60|1|WMPercentageUOMVV|E|N|en|Active Ingredient Percentage|The percent of the active ingredient in the item.|LoopGroup|Float|10400|Left|200|Left||||Active||NULL|
wmActiveIngredients/wmPersonalCareActiveIngredientName|N|wmActiveIngredients|3|text||4000|1||||||||||E|N|en|Active Ingredient Name|Ingredient name. Example: Benzoyl Peroxide (Please enter text with 4000 character max)|LoopGroup|Text|10100|Left|200|Left|200|||Active||NULL|
wmActiveIngredients/wmPersonalCareActiveIngredientPercentage|N|wmActiveIngredients|3|float|40|40|20|||M|uom|text||60|1|WMPercentageUOMVV|E|N|en|Active Ingredient Percentage|The percent of the active ingredient in the item.|LoopGroup|Float|10200|Left|200|Left||||Active||NULL|
wmAdditionalProductAttributes/wmRootAddtionalProductAttributeName|N|wmAdditionalProductAttributes|3|text||100|1||||||||||E|N|en|Additional Product Attribute Name|A name of a single attribute for the additional detail name-value pair.|LoopGroup|Text|2500|Left|200|Left||||Active||NULL|
wmAdditionalProductAttributes/wmRootAddtionalProductAttributeValue|N|wmAdditionalProductAttributes|3|text||4000|1||||||||||E|N|en|Additional Product Attribute Value|A value of a single attribute for the additional detail name-value pair.|LoopGroup|Text|2600|Left|200|Left|200|||Active||NULL|
wmAlcoholicBeveragesContainsSulfites|N|||boolean|||||||||||||E|N|en|Contains Sulfites|Indicates if a beverage contains sulfites.|Horizontal|Boolean|48500|Left|200|Left||||Active||NULL|
wmAlcoholicBeveragesIsEstateBottled|N|||boolean|||||||||||||E|N|en|Is Estate Bottled|Indicates that 100% of the wine came from grapes grown on land owned or controlled by the winery, which must be located in a viticultural area.|Horizontal|Boolean|48200|Left|200|Left||||Active||NULL|
wmAlcoholicBeveragesIsNonGrape|N|||boolean|||||||||||||E|N|en|Is Non-Grape|Indicates that wine was made from fruit other than grapes.|Horizontal|Boolean|48600|Left|200|Left||||Active||NULL|
wmAlcoholicBeveragesWhiskeyPercentage|N|||text||4000|1||||||||||E|N|en|Whiskey Percentage|In the case of a blended whiskey, percentage of whiskey or malt type. |Horizontal|Text|48100|Left|200|Left|200|||Active||NULL|
wmAlcoholicBeveragesWineAppellation|N|||text||4000|1||||||||||E|N|en|Wine Appellation|Legally defined and protected geographical indication used to identify where the grapes for a wine were grown.|Horizontal|Text|48300|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalAccessoriesCharacter|Y||3|text||4000|1||||||||||E|N|en|Character|A person or entity portrayed in print or visual media. A character might be a fictional personality or an actual living person. Example: Dora the Explorer; SpongeBob SquarePants (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|12100|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalAccessoriesCondition|N|||text||4000|1||||||||||E|N|en|Condition|For refurbished items; used for non-perishables Example: New; Used; Refurbished (Please enter text with 4000 character max)|Horizontal|Text|12200|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalAccessoriesIsReflective|N|||boolean|||||||||||||E|N|en|Is Reflective|Indicates that the item contains material that reflects light, especially for nighttime safety.|Horizontal|Boolean|11900|Left|200|Left||||Active||NULL|
wmAnimalAnimalAccessoriesMakesNoise|N|||boolean|||||||||||||E|N|en|Makes Noise|Indicates that the item has a noise-making feature.|Horizontal|Boolean|12000|Left|200|Left||||Active||NULL|
wmAnimalAnimalBreed|N|||text||4000|1||||||||||E|N|en|Animal Breed|The specific breed or species of animal.|Horizontal|Text|8300|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalFoodAnimalHealthConcern|N|||text||4000|1||||||||||E|N|en|Animal Health Concern|Type of condition that the item is intended to address. |Horizontal|Text|9400|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalFoodFeedingInstructions|N|||text||4000|1||||||||||E|N|en|Feeding Instructions|Instructions for feeding food to the animal. |Horizontal|Text|9600|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalFoodIsGrain-Free|N|||boolean|||||||||||||E|N|en|Is Grain-Free|Indicates item is made without grain ingredients. |Horizontal|Boolean|9500|Left|200|Left||||Active||NULL|
wmAnimalAnimalFoodPetFoodForm|N|||text||4000|1||||||||||E|N|en|Pet Food Form|Example: Dry; Canned; Fresh; Flakes; Granules (Please enter text with 4000 character max)|Horizontal|Text|9300|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalHealthGroomingAnimalHealthConcern|N|||text||4000|1||||||||||E|N|en|Animal Health Concern|Type of condition that the item is intended to address. |Horizontal|Text|11200|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalHealthGroomingCondition|N|||text||4000|1||||||||||E|N|en|Condition|For refurbished items; used for non-perishables Example: New; Used; Refurbished (Please enter text with 4000 character max)|Horizontal|Text|11700|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalHealthGroomingDrugFactsLabel|N|||text||2000|1||||||||||E|N|en|Drug Facts Label|URL of the label's image. |Horizontal|Text|9800|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalHealthGroomingForm|N|||text||4000|1||||||||||E|N|en|Form|Describes the way the item is dispensed or consumed, including its texture or other physical characteristics. |Horizontal|Text|11400|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalHealthGroomingHairLength|Y||3|text||4000|1||||||||||E|N|en|Hair Length|The length of hair that grooming product is intended for.|Horizontal|Text|11600|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalHealthGroomingInactiveIngredients|Y||3|text||4000|1||||||||||E|N|en|Inactive Ingredients|The list of inactive ingredients in order of potency, as shown on the item label. |Horizontal|Text|10900|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalHealthGroomingIsDisposable|N|||boolean|||||||||||||E|N|en|Is Disposable|Indicates the item is intended for single use.|Horizontal|Boolean|11000|Left|200|Left||||Active||NULL|
wmAnimalAnimalHealthGroomingIsDrugFactsLabelRequired|N|||boolean|||||||||||||E|N|en|Is Drug Facts Label Required|Indicates if item requires drug facts labeling.|Horizontal|Boolean|9700|Left|200|Left||||Active||MANDATORY_BEFORE|
wmAnimalAnimalHealthGroomingPetSize|N|||text||4000|1||||||||||E|N|en|Pet Size|Example: 5-8 lbs; 14-19 lbs (Please enter text with 4000 character max)|Horizontal|Text|11300|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalHealthGroomingPowerType|N|||text||4000|1||||||||||E|N|en|Power Type|Provides information on the exact type of power used by the item. Example: Electric; Batteries (Please enter text with 4000 character max)|Horizontal|Text|11800|Left|200|Left|200|||Active||MANDATORY_BEFORE|
wmAnimalAnimalHealthGroomingStopUseIndications|Y||3|text||4000|1||||||||||E|N|en|Stop Use Indications|Example: Stop using immediately if you experience severe burning, itching... (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|11500|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalLifestage|N|||text||4000|1||||||||||E|N|en|Animal Lifestage|Example: Puppy; Kitten; Adult; All Lifestages (Please enter text with 4000 character max)|Horizontal|Text|8500|Left|200|Left|200|||Active||NULL|
wmAnimalAnimalType|N|||text||4000|1||||||||||E|N|en|Animal Type|The common generic name for the type of animal.|Horizontal|Text|8200|Left|200|Left|200|||Active||NULL|
wmAnimalFabricCareInstructions|Y||3|text||4000|1||||||||||E|N|en|Fabric Care Instructions|Enter details of the fabric care label.|Horizontal|Text|8800|Left|200|Left|200|||Active||NULL|
wmAnimalFactoryID|N|||integer||12|1||||||||||E|N|en|Factory ID|Required for Private Label brands. See accompanying private-label brand list.|Horizontal|Integer|8000|Left|200|Left||||Active||NULL|
wmAnimalIsFoldable|N|||boolean|||||||||||||E|N|en|Is Foldable|Indicates that an item can be folded. Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|9200|Left|200|Left||||Active||NULL|
wmAnimalIsPortable|N|||boolean|||||||||||||E|N|en|Is Portable|Is the item portable? Example: Y; N (Please select a value from the drop-down below)|Horizontal|Boolean|9100|Left|200|Left||||Active||NULL|
wmAnimalIsPrimaryVariant|N|||boolean|||||||||||||E|N|en|Is Primary Variant|Note whether item is intended as the main variant in a variant grouping.|Horizontal|Boolean|7900|Left|200|Left||||Active||NULL|
wmAnimalManufacturerPartNumber|N|||text||4000|1||||||||||E|N|en|Manufacturer Part Number|MPN uniquely identifies the product to its manufacturer. For many products this will be identical to the model number. Some manufacturers distinguish part number from model number.|Horizontal|Text|8100|Left|200|Left|200|||Active||NULL|
wmAnimalMaterial|Y||3|text||4000|1||||||||||E|N|en|Material|Material makeup of the item. Fabric materials should be entered using the "Fabric Content" attribute. |Horizontal|Text|9000|Left|200|Left|200|||Active||NULL|
wmAnimalMaximumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight2UOMVV|E|N|en|Maximum Weight|Especially for use with outdoor play structures. Example: 220 lb (Please select a value from the drop-down below)|Horizontal|Float|8700|Left|200|Left|200|||Active||NULL|
wmAnimalMinimumWeight|N|||float|30|30|15|||M|uom|text||60|1|WMWeight2UOMVV|E|N|en|Minimum Weight|Especially for use with outdoor play structures. Example: 5 lb; 8 lb (Please select a value from the drop-down below)|Horizontal|Float|8600|Left|200|Left|200|||Active||NULL|
wmAnimalPattern|Y||3|text||4000|1||||||||||E|N|en|Pattern|Decorative design or visual ornamentation, often with a thematic, recurring motif. Example: Floral; Plaid; Paisley (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Text|8900|Left|200|Left|200|||Active||NULL|
wmAnimalPetSize|N|||text||4000|1||||||||||E|N|en|Pet Size|Example: 5-8 lbs; 14-19 lbs (Please enter text with 4000 character max)|Horizontal|Text|8400|Left|200|Left|200|||Active||NULL|
wmAnimalVariantAttributeNames|Y||3|text||4000|1||||||||||E|N|en|Variant Attribute Names|Designate all attributes by which the item is varying. This list may include variants that the category spec has not explicitly identified. <br>Ex: If partner provides data for “Collar Size,” and "Collar Size" is not in the list of valid variants, then input “Collar Size” as a value here.|Horizontal|Text|7800|Left|200|Left|200|||Active||NULL|
wmArtCraftAgeGroup|Y||3|text||60|1||WMAgeGroupVV||||||||E|N|en|Age Group|General grouping of ages into commonly used demographic labels. Example: Child; Teen; Adult (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)|Horizontal|Multi_Select_List|13100|Left|200|Left|200|||Active||NULL|
wmArtCraftArtPaintType|N|||text||4000|1||||||||||E|N|en|Art Paint Type|Example: Acrylic; Oil (Please enter text with 4000 character max)|Horizontal|Text|15300|Left|200|Left||||Active||NULL|
wmArtCraftCapacity|N|||text||4000|1||||||||||E|N|en|Capacity|Discoverability, sizing|Horizontal|Text|13000|Left|200|Left|200|||Active||NULL|
