dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
firstItemSubmissionDate|N|||datetime|||||||||||||R|N|en|First Item Submission Date|(Hidden) DateTime that item was first sumbitted.|Horizontal|DateTime|3200|Left|200|Left||||Active||NULL|
kroAdditionalContactInfo/kroAdditionalContactCompanyName|N|kroAdditionalContactInfo|5|text||100|1||||||||||R|N|en|Additional Contact Company Name|Identifies the company name of an additional contact for the supplier|LoopGroup|Text|5300|Left|200|Left||||Active||NULL|
kroAdditionalContactInfo/kroAdditionalContactEmail|N|kroAdditionalContactInfo|5|text||254|1||||||||||R|N|en|Additional Contact Email|Identifies the email address of an additional contact for the supplier |LoopGroup|Text|5100|Left|200|Left||||Active||NULL|
kroAdditionalContactInfo/kroAdditionalContactJobRole|N|kroAdditionalContactInfo|5|text||60|1||KRO_V11991 ||||||||R|N|en|Additional Contact Job Role|Identifies the job role of an additional contact for the supplier |LoopGroup|Dropdown|5200|Left|200|Left||||Active||NULL|
kroAdditionalContactInfo/kroAdditionalContactName|N|kroAdditionalContactInfo|5|text||100|1||||||||||R|N|en|Additional Contact Name|Identifies an additional contact for the supplier |LoopGroup|Text|5000|Left|200|Left||||Active||NULL|
kroComment|N|||text||1000|1|N|||||||||R|N|en|Supplier Comments|Description of what the item is meant to be used for - initial deal, net content, details for procured corp brand items, buyer communication etc.|Horizontal|Text|3100|Left|200|Left||||Active||NULL|
kroCorporateVendorNumber|N|||text||7|1|N|||||||||R|N|en|Kroger Corporate Vendor Number (K#)|Vendor no. used at corporate level. Supplier is equivalent to the Corporate Vendor that is stored in VPS, also referred to as the K#.|Horizontal|Text|3300|Left|200|Left|10|||Active||NULL|
kroDistributorContact/kroOtherDistributorContactEmail|N|kroDistributorContact|100|text||254|1||||||||||R|N|en|Other Distributor Contact Email|Upon entry of an Other Distributor Name, Other Distributor Contact E-mail is required.|LoopGroup|Text|1700|Left|200|Left|200|||Active||NULL|
kroDistributorContact/kroOtherDistributorContactName|N|kroDistributorContact|100|text||200|1||||||||||R|N|en|Other Distributor Contact Name|Upon entry of an Other Distributor Name, Other Distributor Contact Name is required.|LoopGroup|Text|1600|Left|200|Left|200|||Active||NULL|
kroDistributorContact/kroOtherDistributorName|N|kroDistributorContact|100|text||2000|1||||||||||R|N|en|Other Distributor Name|Upon selection of "other" in the Distributor Name, Other Distributor Name is required. Upon submission this distributor will be requested by Kroger to complete the Distributor Maintenance Form (DMF) for this item.|LoopGroup|Text|1500|Left|200|Left|200|||Active||NULL|
kroDistributorName|Y||500|text||200|1||KRO_V12862||||||||R|N|en|Distributor Name|Select the name of the distributor(s) that are involved in the distribution of the product. Upon submission these distributors will be requested by Kroger to complete the Distributor  Maintenance Form (DMF) for this item.  If your distributor is not on the list, please select "other" and provided the distributors name, contact name and contact e-mail address.|Horizontal|Multi_Select_List|1400|Left|200|Left|200|||Active||NULL|
kroEventCode|N|kroEvents||text||250|1|N|||||||||R|N|en|Kroger Event Code|Code for Corporate event tied to the item (e.g. Kompass reset, Promotional, Seasonal events)|Vertical|Text|600|Left|300|Left|50|||Active||NULL|
kroEventDescription|N|kroEvents||text||250|1|N|||||||||R|N|en|Kroger Event Description|Description of the Kroger event corresponding to the event code.|Vertical|Text|1300|Left|300|Left|60|||Active||NULL|
kroEventEndDate|N|kroEvents||date|||||||||||||R|N|en|Kroger Event End Date|The date the actual Kroger event ends.|Vertical|Date|1100|Left|300|Left|50|||Active||NULL|
kroEventStartDate|N|kroEvents||date|||||||||||||R|N|en|Kroger Event Start Date|The date the actual Kroger event starts.|Vertical|Date|1000|Left|300|Left|50|||Active||NULL|
kroEventSubmissionEndDate|N|kroEvents||date|||||||||||||R|N|en|Kroger Event Submission End Date|The end date of the time period in which the event corresponding to the event code has to be submitted to Kroger.|Vertical|Date|900|Left|300|Left|50|||Active||NULL|
