dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
referencedTradeItem/referencedTradeItemGTIN|N|referencedTradeItem|100|text||14|14||||||||||E|N|en|Referenced Trade Item GTIN|Referenced Trade Item GTIN|LoopGroup|Text|100|Left|200|Left||||Active||NULL|
brandName|N|||text||70|1|N|||||||||E|N|en|Brand Name|The brand name for the product recognized by the consumer.|Horizontal|Text|200|Left|200|Left|40|||Active||MANDATORY_BEFORE|
subBrand|N|||text||70|1|N|||||||||E|N|en|Sub Brand|Second level of the brand name (e.g. Colgate Optic White – Colgate = brand name, Optic White is the sub-brand).|Horizontal|Text|300|Left|200|Left|40|||Active||NULL|
functionalName|Y|||text||70|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Functional Name|Is the "Functional Name" of the trade item. Describes use of the product or service by the consumer. Should help clarify the product classification associated with the GTIN.|Horizontal|Text|400|Left|200|Left||||Active||MANDATORY_BEFORE|
productDescription|Y|||text||200|1|N||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Product Description|An understandable and usable description of the product using brand name and other descriptors. This attribute should be populated with as little abbreviation as possible while keeping to a reasonable length.|Horizontal|Text|500|Left|200|Left|100|||Active||MANDATORY_BEFORE|
shortDescription|Y|||text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Short Description / POS Desc|A short textual description associated with the product. This description can be used on the cash register receipt. This is the first line of the description.|Horizontal|Text|600|Left|200|Left||||Active||MANDATORY_BEFORE|
productForm|Y||100|text||35|1|N|||||||||E|N|en|Product Form|Indicates the physical form of the product.(e.g. liquid, capsule, powder, etc.).|Horizontal|Text|700|Left|200|Left||||Active||NULL|
manufacturer|N||||||||||||||||E|N|en|Manufacturer Link|Party name and identification information for the manufacturer of the trade item.|Horizontal|FLEX_POPUP|800|Left|200|Left||||Active||NULL|
startAvailabilityDate|N|||datetime|||||||||||||E|N|en|Start Availability Date|The date from which the trade item becomes available from the supplier, including seasonal or temporary trade items. Most common is to use current date.|Horizontal|DateTime|900|Left|200|Left||||Active||MANDATORY_BEFORE|
consumerAvailabilityDateTime|N|||dateTime|||||||||||||E|N|en|Consumer Availability Date|The date that the product is available to the consumer.|Horizontal|DateTime|1000|Left|200|Left||||Active||MANDATORY_BEFORE|
kroReplacementItemGTIN|N|||text||14|1|N|||||||||E|N|en|Replaced By GTIN|Indicates the GTIN of an item that will replace this trade item. If there is no value in this attribute, then the product is current and is not being replaced by another product.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
variants/variant|Y|variants|100|text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Variant|Identifies the variant of the product. Variants are the distinguishing characteristics that differentiate products with the same brand and size including such things as the particular flavour, fragrance, taste.|LoopGroup|Text|1200|Left|200|Left||||Active||NULL|
kroEcommEmailContact|N|||text||70|1|N|||||||||E|N |en|Primary Email Contact|The email address of the person who will receive an email notification from our system alerting them to log in and complete the product data|Horizontal|Text|1300|Left|200|Left||||Active||NULL|
kroecommProductCategory|N|||text||70|1|N|KroEcommProductTypeVV||||||||E|N|en|Product Type Category|An internal classification used for defining and determining attribution and view requirements.|Horizontal|Dropdown|1400|Left|200|Left|70|||Active||MANDATORY_BEFORE|
showProdCatAttributes|N||||||||||||||||R|N|en|Product Type Attributes Link|Product Type Attributes Link|Horizontal|STATIC_LINK|1500|Left|200|Left||||Active||NULL|
kroSearchTerms|Y||10|text||70|1|N|||||||||E|N|en|Search Terms|Alternate spellings and synonyms/keywords/keyphrases to be used in searches, not for display.|Horizontal|Text|1600|Left|200|Left||||Active||NULL|
kroWebsphereParentGroupIdentifier|Y||999|text||40|1|N|KroEcommParentGroupIdentifierVV||||||||E|N|en|eCommerce Category|The primary category to which this product belongs in the online catalog.|Horizontal|Multi_Select_List|1700|Left|200|Left||||Active||MANDATORY_BEFORE|
globalClassificationCategory/code|N|globalClassificationCategory|1|text||8|8|N|||||||||E|N|en|GPC Brick Code|The classification code according to the classification system established by the GDSN and assigned to an item.|LoopGroupVertical|Text|1800|Left|200|Left|8|||Active||MANDATORY_BEFORE|
globalClassificationCategory/name|N|globalClassificationCategory|1|text||255|1|N|||||||||E|N|en|Global Classification Category Name|The classification code description that applies to this code chosen for the product in the Global Product Classification Code Scheme.|LoopGroupVertical|Text|1900|Left|200|Left|255|||Active||NULL|
width|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Width & UOM|For consumer trade items: The measurement from left to right of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the shortest side of the base of the trade item after the natural base is determined.|Horizontal|Float|2000|Left|200|Left||||Active||MANDATORY_BEFORE|
depth|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Depth & UOM|For consumer trade items: The measurement from front to back of the product after the default front is determined (this also applies to non-consumer trade items that go on a retailer shelf – for example, protein bars sold individually but merchandised on the retailer shelf in a carton). For non-consumer trade items: The measurement of the longest side of the base of the product after the natural base is determined.|Horizontal|Float|2100|Left|200|Left||||Active||MANDATORY_BEFORE|
height|Y||999|float|38|53|15|||M|uom|text||3|1|DimensionsUOM|E|N|en|Height & UOM|The vertical dimension from the lowest extremity to the highest extremity, including packaging and the unit of measure associated with the height.|Horizontal|Float|2200|Left|200|Left||||Active||MANDATORY_BEFORE|
grossWeight|Y||999|float|38|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Gross Weight & UOM|The gross weight of the product. Includes all packaging materials o At the pallet level the gross weight includes the weight of the pallet itself.|Horizontal|Float|2300|Left|200|Left||||Active||MANDATORY_BEFORE|
netWeight|Y||999|float|38|38|15|||M|uom|text||3|1|MassUOM|E|N|en|Net Weight & UOM|Identifies the net weight of the product. Net weight excludes all packaging material.|Horizontal|Float|2400|Left|200|Left||||Active||NULL|
displayDimensions/dimensionWidth|N|displayDimensions|100|float|15|30|15|||M|uom|text||5|2|DimensionsUOM|E|N|en|Dimension Width|The width dimension of a trade item under certain display scenarios (Display Dimension Types) when they differ from the standard measurements provided under the Package Measurement Rules.|LoopGroup|Float|2500|Left|200|Left||||Active||NULL|
displayDimensions/dimensionDepth|N|displayDimensions|100|float|15|30|15|||M|uom|text||5|2|DimensionsUOM|E|N|en|Dimension Depth|The depth dimension of a trade item under certain display scenarios (Display Dimension Types) when they differ from the standard measurements provided under the Package Measurement Rules.|LoopGroup|Float|2600|Left|200|Left||||Active||NULL|
displayDimensions/dimensionHeight|N|displayDimensions|100|float|15|30|15|||M|uom|text||5|2|DimensionsUOM|E|N|en|Dimension Height|The height dimension of a trade item under certain display scenarios (Display Dimension Types) when they differ from the standard measurements provided under the Package Measurement Rules.|LoopGroup|Float|2700|Left|200|Left||||Active||NULL|
