dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/displayScreenType|Y||3|text||70|1|N|||||||||E|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|200|Left|200|Left||||Active||NULL|
avp/hasDetachableSpeakers|N|||boolean|||||||||||||E|N|en|Has Detachable Speakers?|hasDetachableSpeakers<br>Qualifier: AVP748<br>Indicates whether or not the product has speakers that can separate from the main unit.|Horizontal|Boolean|600|Left|200|Left||||Active||NULL|
avp/quantityOfSpeakers|N|||integer||4|1||||||||||E|N|en|Quantity Of Speakers|quantityOfSpeakers<br>Qualifier: AVP621<br>Indicates the number of speakers included with this product.|Horizontal|Integer|900|Left|200|Left||||Active||NULL|
avp/radioTunerType|Y||3|text||70|1|N|||||||||E|N|en|Radio Tuner Type|radioTunerType<br>Qualifier: AVP630<br>Indicates the type of radio tuner included in the product.|Horizontal|Text|1200|Left|200|Left||||Active||NULL|
avp/speakerType|N|||text||70|1|N|||||||||E|N|en|Speaker Type|speakerType<br>Qualifier: AVP661<br>Describes the speaker style.|Horizontal|Text|1000|Left|200|Left||||Active||NULL|
avp/speakerUse|N|||text||70|1|N|||||||||E|N|en|Speaker Use|speakerUse<br>Qualifier: AVP662<br>Indicates whether the speakers are stationary or can be portable.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
kroAudioVisualConnection/kroConnectionInputDirection|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionInputDirectionVV||||||||E|N|en|Direction|The directions of connections (input, output) that are available expressed as a code value.|LoopGroup|Dropdown|400|Left|60|Left||||Active||NULL|
kroAudioVisualConnection/kroConnectionQuantity|N|kroAudioVisualConnection|100|integer||4|1||||||||||E|N|en|Quantity|The number of audio visual connections available on the unit expressed as a code.|LoopGroup|Integer|500|Left|60|Left||||Active||NULL|
kroAudioVisualConnection/kroConnectionType|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionTypeVV||||||||E|N|en|Connection Type|The types of Standard or Basic Connection Types that are available expressed as a code.|LoopGroup|Dropdown|300|Left|60|Left||||Active||NULL|
kroDetachableSpeakerType|N||1|text||70|1|N|KroDetachableSpeakerTypeVV||||||||E|N|en|Detachable Speaker Type|The type of detachable speakers available on the unit for example wireless.|Horizontal|Dropdown|700|Left|200|Left||||Active||NULL|
kroFixedSpeakerLocation|N||1|text||70|1|N|KroFixedSpeakerLocationVV||||||||E|N|en|Fixed Speaker Location|The location of speakers that cannot be detached available on the unit.|Horizontal|Dropdown|800|Left|200|Left||||Active||NULL|
tradeItemFinishDescription|Y|||text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Finish Description|Attribute which defines the outer surface/appearance of the product.|Horizontal|Text|100|Left|200|Left||||Active||NULL|
