dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|700|Left|200|Left||||Active||NULL|
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|800|Left|200|Left||||Active||NULL|
avp/cameraLensOpticalZoom|N|||text||70|1|N|||||||||E|N|en|Camera Lens Optical Zoom|cameraLensOpticalZoom<br>Qualifier: AVP179<br>Indicates the optical zoom on the camera product.|Horizontal|Text|3400|Left|200|Left||||Active||NULL|
avp/displayIndicatorType|Y||5|text||70|1|N|||||||||E|N|en|Display Indicator Type|displayIndicatorType<br>Qualifier: AVP217<br>Identifies the type of on screen indicators the product has.|Horizontal|Text|100|Left|200|Left||||Active||NULL|
avp/hasACDCAdapterIncluded|N|||boolean|||||||||||||E|N|en|Has AC/DC Adapter Included?|hasACDCAdapterIncluded<br>Qualifier: AVP256<br>Indicates whether or not the product includes an AC/DC adapter.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|
avp/hasBuiltInBattery|N|||boolean|||||||||||||E|N|en|Has Built In Battery?|hasBuiltInBattery<br>Qualifier: AVP829<br>Indicates whether the Product has a Built in Battery rather than Replaceable Battery.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|
avp/hasCarAdapter|N|||boolean|||||||||||||E|N|en|Has Car Adapter?|hasCarAdapter<br>Qualifier: AVP286<br>Indicates whether or not the product has a car adapter.|Horizontal|Boolean|400|Left|200|Left||||Active||NULL|
avp/hasGPS|N|||boolean|||||||||||||E|N|en|Has GPS?|hasGPS<br>Qualifier: AVP322<br>Indicates whether or not the product has GPS cabability. GPS means Global Positioning System and uses satellites and a receiver to provide a global position.|Horizontal|Boolean|2700|Left|200|Left||||Active||NULL|
avp/hasMP3PlayerSoftware|N|||boolean|||||||||||||E|N|en|Has MP3 Player Software?|hasMP3PlayerSoftware<br>Qualifier: AVP772<br>Indicates whether or not the product has MP3 playing software installed.|Horizontal|Boolean|2500|Left|200|Left||||Active||NULL|
avp/hasNavigationCapability|N|||boolean|||||||||||||E|N|en|Has Navigation Capability?|hasNavigationCapability<br>Qualifier: AVP357<br>Indicates whether or not the portable video unit has navigation capability either via alternate input or by internal programming. Combination with GPS.|Horizontal|Boolean|2600|Left|200|Left||||Active||NULL|
