dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
audioVisualMediaContentInformation|N||||||||||||||||E|N|en|Audio Visual Media Content Information|Information on the media included in the package for the purposes of storing the software, games, music, films.|Horizontal|FLEX_POPUP|1200|Left|200|Left||||Active||NULL|
audioVisualMediaDateInformation/audioVisualMediaDateTime|N|audioVisualMediaDateInformation|100|datetime|||||||||||||E|N|en|Audio Visual Media Date|The date for audio or visual media products for example release date.|LoopGroup|DateTime|800|Right|200|Left||||Active|O|NULL|
audioVisualMediaDateInformation/audioVisualMediaDateTypeCode|N|audioVisualMediaDateInformation|100|text||80|1||AudioVisualMediaDateTypeCode||||||||E|N|en|Audio Visual Media Date Type Code|A code specifying the type of date for audio or visual media products for example release date.|LoopGroup|DropDown|900|Right|200|Left||||Active|O|NULL|
audioVisualMediaProductTitle|N|||text||200|1||||||||||E|N|en|Product Title|Title of the audio visual media product.|Horizontal|Text|100|Right|200|Left||||Active||NULL|
kroAspectRatio|N||1|text||70|1|N|||||||||E|N|en|Aspect Ratio|PixelWidth:PixelHeight. Ex: 16:9|Horizontal|Text|1000|Left|200|Left||||Active||NULL|
kroDirectorName|Y||999|text||70|1|N|||||||||E|N|en|Director Name|Name of the director of the movie.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
kroProductGenre|N||1|text||70|1|N|KroGenreVV||||||||E|N|en|Genre|The code of the genre for this electronic games trade item. The genre is a categorization of the trade item based upon the content and maintained for marketing and merchandising purposes.|Horizontal|Dropdown|500|Left|200|Left||||Active||MANDATORY_BEFORE|
kroPublicationDate|N||1|dateTime|||||||||||||E|N|en|Publication Date|The date of publication.|Horizontal|DateTime|700|Left|200|Left||||Active||NULL|
kroPublicationTitleRating/kroRatingContentDescriptor|Y|kroPublicationTitleRating|50|text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Rating Content Description|Indicate elements in the trade item that may trigger a particular rating and/or may be of interest or concern to the consumer.|LoopGroup|Text|200|Left|200|Left|30|||Active||NULL|
kroPublicationTitleRating/kroTitleRating|N|kroPublicationTitleRating|50|text||35|1|N|KroTitleRatingVV||||||||E|N|en|Title Rating|A rating assigned to the title by a country, industry or volunteer organization that may be of interest or concern to the consumer.|LoopGroup|Dropdown|300|Left|150|Left|20|||Active||MANDATORY_BEFORE|
kroPublicationTitleRating/kroTitleRatingEntity|N|kroPublicationTitleRating|50|text||35|1|N|KroTitleRatingEntityVV||||||||E|N|en|Title Rating Entity|The name of the country, industry or volunteer organization that has rated the title and has provided the rating content descriptor.|LoopGroup|Dropdown|400|Left|150|Left|20|||Active||MANDATORY_BEFORE|
studioName|Y||50|text||70|1|N|||||||||E|N|en|Studio Name|Name of the movie studio.|Horizontal|Text|600|Left|200|Left||||Active||NULL|
