dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/cleaningMethod|N|||text||70|1|N|||||||||E|N|en|Cleaning Method|cleaningMethod<br>Qualifier: AVP198<br>Indicates the method in which to clean the product.|Horizontal|Text|100|Left|200|Left||||Active||NULL|
tradeItemFinishDescription|Y|||text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Finish Description|Attribute which defines the outer surface/appearance of the product.|Horizontal|Text|200|Left|200|Left||||Active||NULL|
kroApplianceCapability|Y||100|text||70|1|N|||||||||E|N|en|Appliance Capabilities|Indicates a distinct use to which this product can be applied.|Horizontal|Text|300|Left|200|Left||||Active||NULL|
kroApplianceSetting|Y||100|text||70|1|N|||||||||E|N|en|Appliance Settings|Indicates a setting which can be adjusted in use of this product.|Horizontal|Text|400|Left|200|Left||||Active||NULL|
avp/hasNonStickCoating|N|||boolean|||||||||||||E|N|en|Has Non-stick Coating?|hasNonStickCoating<br>Qualifier: AVP359<br>Indicates whether or not the product has a non-stick coating.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|
kroDishwasherSafe|N|||boolean|||||||||||||E|N|en|Dishwasher Safe|Can this product be washed in an automatic dishwasher?|Horizontal|Boolean|600|Left|200|Left||||Active||NULL|
kroControls|Y||100|text||70|1|N|||||||||E|N|en|Controls|A description of each type of adjustable controls available on this product.|Horizontal|Text|700|Left|200|Left||||Active||NULL|
avp/capacityQuantity|N|||float|7|14|7||||||||||E|N|en|Capacity Quantity|capacityQuantity<br>Qualifier: AVP190<br>Generally defines how much the product can hold. The values are in reference to the appliance capacity in Cubic feet.|Horizontal|Float|800|Left|200|Left||||Active||NULL|
avp/capacityQuantityUOM|N|||text||70|1|N|||||||||E|N|en|Capacity Quantity UOM|capacityQuantityUOM<br>Qualifier: AVP191<br>The unit of measurement associated with Capacity Quantity.|Horizontal|Text|900|Left|200|Left||||Active||NULL|
avp/applianceWattage|N|||integer||4|1||||||||||E|N|en|Appliance Wattage|applianceWattage<br>Qualifier: AVP144<br>Identifies the number of watts, in which the product operates efficiently. Measured in Watts.|Horizontal|Integer|1000|Left|200|Left||||Active||NULL|
