dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
kroStyleDescription|N||1|text||70|1|N|||||||||E|N|en|Style Description|Describes the style of the product.|Horizontal|Text|100|Left|200|Left||||Active||NULL|
avp/cordLength|N|||integer||4|1||||||||||E|N|en|Cord Length|cordLength<br>Qualifier: AVP211<br>Indicates the length of the cord attached to the product.|Horizontal|Integer|200|Left|200|Left||||Active||NULL|
avp/cordLengthUOM|N|||text||70|1|N|||||||||E|N|en|Cord Length UOM|cordLengthUOM<br>Qualifier: AVP212<br>The unit of measurement associated with Cord Length.|Horizontal|Text|300|Left|200|Left||||Active||NULL|
avp/filtrationTechnologyType|Y||7|text||70|1|N|||||||||E|N|en|Filtration Technology Type|filtrationTechnologyType<br>Qualifier: AVP238<br>Describes the level of air cleaning the filter system contains.|Horizontal|Text|400|Left|200|Left||||Active||NULL|
kroSurfaceType|Y||100|text||70|1|N|KroSurfaceTypeVV||||||||E|N|en|Surface Types|Indicates a type of surface which this product can be used on.|Horizontal|Dropdown|500|Left|200|Left||||Active||NULL|
avp/hasACDCAdapterIncluded|N|||boolean|||||||||||||E|N|en|Has AC/DC Adapter Included?|hasACDCAdapterIncluded<br>Qualifier: AVP256<br>Indicates whether or not the product includes an AC/DC adapter.|Horizontal|Boolean|600|Left|200|Left||||Active||NULL|
avp/hasCarAdapter|N|||boolean|||||||||||||E|N|en|Has Car Adapter?|hasCarAdapter<br>Qualifier: AVP286<br>Indicates whether or not the product has a car adapter.|Horizontal|Boolean|700|Left|200|Left||||Active||NULL|
avp/hasBuiltInBattery|N|||boolean|||||||||||||E|N|en|Has Built In Battery?|hasBuiltInBattery<br>Qualifier: AVP829<br>Indicates whether the Product has a Built in Battery rather than Replaceable Battery.|Horizontal|Boolean|800|Left|200|Left||||Active||NULL|
kroBatterySize|N||1|text||70|1|N|KroBatterySizeVV||||||||E|N|en|Battery Size|Indicates the size of the battery.|Horizontal|Dropdown|900|Left|200|Left||||Active||NULL|
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|1000|Left|200|Left||||Active||NULL|
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|1100|Left|200|Left||||Active||NULL|
batteryTypeInformation/batteryTechnologyType|Y|batteryTypeInformation|100|text||70|1|N|BatteryTechnologyTypeCodeList||||||||E|N|en|Battery Technology Type|Describes the type of battery technology used by this device.|LoopGroup|Multi_Select_List|1200|Left|200|Left||||Active|O|NULL|
batteryTypeInformation/quantityOfBatteriesBuiltIn|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Built In|The number of batteries included with and built into the trade item during manufacturing which cannot be changed or removed.|LoopGroup|Integer|1300|Left|200|Left||||Active|O|NULL|
batteryTypeInformation/quantityOfBatteriesRequired|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Reqd|quantityOfBatteriesRequired<br>Qualifier: ENT009<br>The number of batteries required to operate the trade item.|LoopGroup|Integer|1400|Left|200|Left||||Active|O|NULL|
batteryTypeInformation/batteryWeight|N|batteryTypeInformation|100|float|23|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Battery Weight|The weight of each battery included with or built into the trade item.|LoopGroup|Float|1500|Left|200|Left||||Active|O|NULL|
kroBatteryLife|N|||integer||4|1||||||||||E|N|en|Battery Life|How long the battery lasts.|Horizontal|Integer|1600|Left|200|Left||||Active||NULL|
kroBatteryLifeUOM|N|||text||70|1|N|KroBatteryLifeUOMVV||||||||E|N|en|Battery Life UOM|Unit of Measure for Battery Life|Horizontal|Dropdown|1700|Left|200|Left||||Active||NULL|
