dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/hasACDCAdapterIncluded|N|||boolean|||||||||||||E|N|en|Has AC/DC Adapter Included?|hasACDCAdapterIncluded<br>Qualifier: AVP256<br>Indicates whether or not the product includes an AC/DC adapter.|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|
avp/hasCarAdapter|N|||boolean|||||||||||||E|N|en|Has Car Adapter?|hasCarAdapter<br>Qualifier: AVP286<br>Indicates whether or not the product has a car adapter.|Horizontal|Boolean|200|Left|200|Left||||Active||NULL|
avp/hasBuiltInBattery|N|||boolean|||||||||||||E|N|en|Has Built In Battery?|hasBuiltInBattery<br>Qualifier: AVP829<br>Indicates whether the Product has a Built in Battery rather than Replaceable Battery.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|
kroBatterySize|N||1|text||70|1|N|KroBatterySizeVV||||||||E|N|en|Battery Size|Indicates the size of the battery.|Horizontal|Dropdown|400|Left|200|Left||||Active||NULL|
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|600|Left|200|Left||||Active||NULL|
batteryTypeInformation/batteryTechnologyType|Y|batteryTypeInformation|100|text||70|1|N|BatteryTechnologyTypeCodeList||||||||E|N|en|Battery Technology Type|Describes the type of battery technology used by this device.|LoopGroup|Multi_Select_List|700|Left|200|Left||||Active|O|NULL|
batteryTypeInformation/quantityOfBatteriesBuiltIn|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Built In|The number of batteries included with and built into the trade item during manufacturing which cannot be changed or removed.|LoopGroup|Integer|800|Left|200|Left||||Active|O|NULL|
batteryTypeInformation/quantityOfBatteriesRequired|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Reqd|quantityOfBatteriesRequired<br>Qualifier: ENT009<br>The number of batteries required to operate the trade item.|LoopGroup|Integer|900|Left|200|Left||||Active|O|NULL|
batteryTypeInformation/batteryWeight|N|batteryTypeInformation|100|float|23|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Battery Weight|The weight of each battery included with or built into the trade item.|LoopGroup|Float|1000|Left|200|Left||||Active|O|NULL|
avp/displayScreenType|Y||3|text||70|1|N|||||||||E|N|en|Display Screen Type|displayScreenType<br>Qualifier: AVP218<br>Describes the type of display the product projects.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
avp/displayScreenSize|Y||100|float|15|15|9||||uom|text||3|1|DimensionsUOM|E|N|en|Display/Screen Size|displayScreenSize<br>Qualifier: AVP219<br>Describes the viewable display/screen size of the product. Includes small screen products, includes cameras, etc.|Horizontal|Float|1200|Left|200|Left||||Active||NULL|
kroDisplayResolution|N|||text||30|1|N|KroDisplayResolutionVV||||||||E|N|en|Display Resolution|The display resolution of a television or computer display. This typically refers to the number of distinct pixels in each dimension that can be displayed.|Horizontal|Dropdown|1300|Left|200|Left||||Active||NULL|
kroHardDriveSize|N|||float|7|14|7||||||||||E|N|en|Hard Drive Size|Describes the hard drive that is included in the product.|Horizontal|Float|1400|Left|200|Left||||Active||NULL|
kroHardDriveSizeUOM|N|||text||70|1|N|KroMemoryUOMVV||||||||E|N|en|Hard Drive Size UOM|The unit of measurement associated with Hard Drive Size.|Horizontal|Dropdown|1500|Left|200|Left||||Active||NULL|
avp/networkingTechnologyType|Y||3|text||70|1|N|||||||||E|N|en|Networking Technology Type|networkingTechnologyType<br>Qualifier: AVP521<br>Describes the product's type of networking technology.|Horizontal|Text|1600|Left|200|Left||||Active||NULL|
kroAudioVisualConnection/kroConnectionType|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionTypeVV||||||||E|N|en|Connection Type|The types of Standard or Basic Connection Types that are available expressed as a code.|LoopGroup|Dropdown|1700|Left|60|Left||||Active||NULL|
kroAudioVisualConnection/kroConnectionInputDirection|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionInputDirectionVV||||||||E|N|en|Direction|The directions of connections (input, output) that are available expressed as a code value.|LoopGroup|Dropdown|1800|Left|60|Left||||Active||NULL|
kroAudioVisualConnection/kroConnectionQuantity|N|kroAudioVisualConnection|100|integer||4|1||||||||||E|N|en|Quantity|The number of audio visual connections available on the unit expressed as a code.|LoopGroup|Integer|1900|Left|60|Left||||Active||NULL|
kroBatteryLife|N|||integer||4|1||||||||||E|N|en|Battery Life|How long the battery lasts.|Horizontal|Integer|2000|Left|200|Left||||Active||NULL|
kroBatteryLifeUOM|N|||text||70|1|N|KroBatteryLifeUOMVV||||||||E|N|en|Battery Life UOM|Unit of Measure for Battery Life|Horizontal|Dropdown|2100|Left|200|Left||||Active||NULL|
kroVideoDiskFormats|Y||6|text||70|1|N|KroVideoDiskFormatsVV||||||||E|N|en|Video Disk Formats|Identifies the media formats that can be played on the product.|Horizontal|Dropdown|2200|Left|200|Left||||Active||NULL|
