dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
mclBogusFlag|N|||boolean|||||||||||||E|N|en|Bogus Flag|No retail UPC, Bulk item.  Example: check mark|Horizontal|Boolean|1500|Left|200|Left||||Active||NULL|
mclBuyerNumber|N|||text||2|1||||||||||E|N|en|Buyer #|Numeric Field.  Example: 45|Horizontal|Text|700|Left|200|Left||||Active||MANDATORY_BEFORE|
mclConsumerUnits/mclConsumerUnits|N|mclConsumerUnits|100|integer||6|1||||||||||E|N|en|Consumer Units|Number of consumer units in case. Example: 12|LoopGroupRo |Integer|3800|Left|100|Left||||Active||MANDATORY_BEFORE|
mclConsumerUnits/mclGtinOfConsumerUnits|N|mclConsumerUnits|100|text||14|1|N|||||||||R|N|en|Consumer Units GTIN|The Global Trade Item Number is the standard 14-digit number used to identify all trade items in 1SYNC Item Management. For a more detailed definition, refer to the introductory section of this document.|LoopGroupRo |Text|3700|Left|20|Left|20|||Active||NULL|
mclConsumerUnits/mclProductTypeOfConsumerUnits|N|mclConsumerUnits|100|text||2|1|N|ProductTypeCodes_hub||||||||R|N|en|Consumer Units Product Type|Describes the hierarchical level of the trade item.|LoopGroupRo |Text|3600|Left|100|Left||||Active||NULL|
mclCorpAccountNumber|N|||text||3|3||||||||||E|N|en|Corp Account #|Numeric Customer Account Number.  Example: 999|Horizontal|Text|1300|Left|200|Left||||Active||MANDATORY_BEFORE|
mclCubiscan/mclCubiscanDate|N|mclCubiscan|100|datetime|||||||||||||R|N|en|Cubiscan Date|Date an item was cubiscaned.  Example: 39857|LoopGroupRo |Date|2800|Left|150|Left|150|||Active||NULL|
mclCubiscan/mclCubiscanGTIN|N|mclCubiscan|100|text||14|1|N|||||||||R|N|en|Cubiscan GTIN|GTIN of the item that was cusbiscaned|LoopGroupRo |Text|2700|Left|20|Left|20|||Active||NULL|
mclCubiscan/mclCubiscanHeight|N|mclCubiscan|100|float|5|5|2||||||||||R|N|en|Cubiscan Height|Height of case, always in inches.  Example: 15.25|LoopGroupRo |Float|3100|Left|100|Left||||Active||NULL|
mclCubiscan/mclCubiscanLengthDepth|N|mclCubiscan|100|float|5|5|2||||||||||R|N|en|Cubiscan Length (Depth)|Depth of case, always in inches.  Example: 17.25|LoopGroupRo |Float|2900|Left|100|Left||||Active||NULL|
mclCubiscan/mclCubiscanProductType|N|mclCubiscan|100|text||2|1|N|ProductTypeCodes_hub||||||||R|N|en|Product Type|Describes the hierarchical level of the trade item.|LoopGroupRo |Text|2600|Left|100|Left||||Active||NULL|
mclCubiscan/mclCubiscanWeight|N|mclCubiscan|100|float|7|7|2|||M|uom|text||10|1|mcl_CubiscanWeights|R|N|en|Cubiscan Weight & UOM|Weight of case,ounces or pounds.  Example: 15.2|LoopGroupRo |Float|3200|Left|200|Left|100|||Active||NULL|
mclCubiscan/mclCubiscanWidth|N|mclCubiscan|100|float|5|5|2||||||||||R|N|en|Cubiscan Width|Width of case, always in inches.  Example: 10.15|LoopGroupRo |Float|3000|Left|100|Left||||Active||NULL|
mclCubiscanCode|N|||text||38|1||mcl_CubiscanCodes||||||||R|N|en|CUBISCAN CODE|Codes to track if an item has been cubiscaned.  Example: Cubiscaned|Horizontal|Dropdown|2500|Left|200|Left||||Active||NULL|
mclCubiscanInformationBanner|N||||||||||||||||R|N|en|Cubiscan Information|Cubiscan Information|Banner|Label|2400|Left|200|Left||||Active||NULL|
mclGeneralInfoBanner|N||||||||||||||||E|N|en|General Information|General Information|Banner|Label|100|Left|200|Left||||Active||NULL|
