dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
swItemMaintIndicator|N|||boolean|||||||||||||R|N|en|Item Maintenance Indicator|Item Maintenance Indicator|Horizontal|Boolean|50|Left|200|Left||||Active||NULL|
swIsNational|N|||boolean|||||||||||||E|N|en|Is National?|Indicates if the item is to be routed to the National Merchandising Team|Horizontal|Boolean|100|Left|200|Left||||Active||NULL|
swGroup|N||1|text||2|1||SWGroupVV||||||||E|N|en|Group|Group Code is a 2 digit code indicating the high level group the item belongs to.|Horizontal|Dropdown|200|Left|200|Left||||Active||MANDATORY_BEFORE|
swCategory|N|||text||2|1||||||||||E|N|en|Category|Category Code is a 2 digit code indicating the category the item belongs to within the high level group.|Horizontal|Text|300|Left|200|Left||||Active||MANDATORY_BEFORE|
swClass|N|||text||2|1||||||||||E|N|en|Class|Class Code is a 2 digit code indicates the class the item belongs to within the category.|Horizontal|Text|400|Left|200|Left||||Active||MANDATORY_BEFORE|
swSubClass|N|||text||2|1||||||||||E|N|en|Sub Class|Sub-Class Code is a 2 digit code indicates the sub-class the item belongs to within the class.|Horizontal|Text|500|Left|200|Left||||Active||MANDATORY_BEFORE|
swSubSubClass|N|||text||2|1||||||||||E|N|en|Sub Sub Class|Sub-Sub-Class Code is a 2 digit code indicates the sub-sub-class the item belongs to within the sub-class.|Horizontal|Text|600|Left|200|Left||||Active||MANDATORY_BEFORE|
swProductionGroupCode|N|||text||2|1||SWProductionGroupCdVV||||||||E|N|en|Production Group Code|Group Code is a 2 digit code indicating the high level group the item belongs to.|Horizontal|Dropdown|700|Left|200|Left||||Active||NULL|
swProductionCategoryCode|N|||text||2|1||||||||||E|N|en|Production Category Code|Category Code is a 2 digit code indicating the category the item belongs to within the high level group.|Horizontal|Text|800|Left|200|Left||||Active||NULL|
swProductionClassCode|N|||text||2|1||uom||||||||E|N|en|Production Class Code|Class Code is a 2 digit code indicates the class the item belongs to within the category.|Horizontal|Text|900|Left|200|Left||||Active||NULL|
swVendorName|N|||text||40|1||||||||||E|N|en|Vendor Name|Vendor Name|Horizontal|Text|1000|Left|200|Left||||Active||MANDATORY_BEFORE|
swVendorNumber|N|||text||6|6||||||||||E|N|en|Vendor Number|6-digit vendor number. Add leading zeros if needed.|Horizontal|Text|1100|Left|200|Left||||Active||MANDATORY_BEFORE|
