Subclass|Attribute XML Name|Attribute Edit Permission|Display Order|Label Characteristics
avp|additionalDescription|R|4100|NULL
avp|additionalTradeItemPrice/priceBasisQuantity|R|107000|NULL
avp|additionalTradeItemPrice/priceEffectiveEndDate|R|107100|NULL
avp|additionalTradeItemPrice/priceEffectiveStartDate|R|107200|NULL
avp|additionalTradeItemPrice/sheetName|R|107300|NULL
avp|additionalTradeItemPrice/tradeItemPrice|R|106900|NULL
avp|additionalTradeItemPrice/tradeItemPriceTypeCode|R|107400|NULL
avp|ageRangeDescription|E|500|NULL
avp|agreedMaximumBuyingQuantity|R|8800|NULL
avp|agreedMinimumBuyingQuantity|R|8700|NULL
avp|allergenRelatedInformation|E|4500|NULL
avp|alternateItemIdentification/agency|R|300|NULL
avp|alternateItemIdentification/id|R|400|NULL
avp|applicableAllowanceCharge/allowanceChargeAmount|R|108000|NULL
avp|applicableAllowanceCharge/allowanceChargeDescription|R|108100|NULL
avp|applicableAllowanceCharge/allowanceChargePercentage|R|108200|NULL
avp|applicableAllowanceCharge/allowanceChargeTypeCode|R|107800|NULL
avp|applicableAllowanceCharge/allowanceOrChargeType|R|107900|NULL
avp|applicableAllowanceCharge/amountPerUnit|R|108300|NULL
avp|applicableAllowanceCharge/baseAmount|R|108400|NULL
avp|applicableAllowanceCharge/baseNumberOfUnits|R|108500|NULL
avp|applicableAllowanceCharge/bracketIdentifier|R|108600|NULL
avp|areBatteriesIncluded|E|900|NULL
avp|areBatteriesRequired|E|1000|NULL
avp|areHazardousComponentsRemovable|R|21200|NULL
avp|aspectRatio/aspectRatioDescriptionCode|R|108700|NULL
avp|aspectRatio/aspectRatioDimensionCode|R|108800|NULL
avp|aspectRatioDescriptionCode|R|140000|NULL
avp|audioSoundTypeCode|R|14300|NULL
avp|audioVisualItemInstallationOptionTypeCode|R|140100|NULL
avp|audioVisualMediaContentInformation|E|600|NULL
avp|audioVisualMediaDateInformation/audioVisualMediaDateTime|E|800|NULL
avp|audioVisualMediaDateInformation/audioVisualMediaDateTypeCode|E|900|NULL
avp|audioVisualMediaProductCollectionName|R|16000|NULL
avp|audioVisualMediaProductLabelName|E|200|NULL
avp|audioVisualMediaProductLine|R|15400|NULL
avp|audioVisualMediaProductTitle|E|100|NULL
avp|availableBrightnessValues|R|139800|NULL
avp|averageServingsPerCase|R|19600|NULL
avp|avp/acceleratedGraphicsPortSpeed|R|600|NULL
avp|avp/additionalCouponFamilyCode|R|84700|NULL
avp|avp/additionalFeaturesOrIncludedAccessories|R|700|NULL
avp|avp/additionalPrinterFunctions|R|800|NULL
avp|avp/additionalShredderCapabilities|R|900|NULL
avp|avp/adjustableDirection|R|1000|NULL
avp|avp/adjustableShelfType|R|1100|NULL
avp|avp/airConditionerUnitType|R|1200|NULL
avp|avp/albumCapacity|R|1300|NULL
avp|avp/albumCapacityUOM|R|1400|NULL
avp|avp/alcoholicBeveragePermissionLevel|R|1500|NULL
avp|avp/alcoholicBeverageSubregionOfOrigin|R|1600|NULL
avp|avp/alcoholicBeverageSugarGramsPerLitre|R|1700|NULL
avp|avp/allergenRelevantDataProvided|R|84500|NULL
avp|avp/amountOfConnectedEquipmentGuarantee|R|1800|NULL
avp|avp/amountOfMemoryIncluded|R|79300|NULL
avp|avp/amperage|R|1900|NULL
avp|avp/amplifierClass|R|79400|NULL
avp|avp/antennaPowerSourceType|R|2000|NULL
avp|avp/antennaType|R|2100|NULL
avp|avp/applianceBaseColor|R|2200|NULL
avp|avp/applianceMarketingColor|R|2300|NULL
avp|avp/applianceStyle|R|2400|NULL
avp|avp/applianceWattage|R|2500|NULL
avp|avp/areBatteriesRequired|R|73500|NULL
avp|avp/areDemonstrationItemsAvailable|R|2600|NULL
avp|avp/areHeadphonesIncluded|R|2700|NULL
avp|avp/aspectRatio|R|3400|NULL
avp|avp/audioVideoPlaybackCapability|R|2800|NULL
avp|avp/audioWattsPerChannel|R|2900|NULL
avp|avp/australianMilkLevyDIAL|R|75900|NULL
avp|avp/australianMilkLevyDIALCurrency|R|76000|NULL
avp|avp/automatedDocumentFeederPageCapacity|R|3000|NULL
avp|avp/averageCostPerPrint|R|3100|NULL
avp|avp/averageMillisecondsOfDiskSeekTime|R|3200|NULL
avp|avp/aVInputOutputLocation|R|3300|NULL
avp|avp/baglessTechnologyType|R|3600|NULL
avp|avp/baseUnitsPerPallet|R|75600|NULL
avp|avp/batteryLife|R|3700|NULL
avp|avp/batteryLifeUOM|R|3800|NULL
avp|avp/batterySize|R|72000|NULL
avp|avp/binocularSize|R|3900|NULL
avp|avp/biometricSecurityFeatures|R|79500|NULL
avp|avp/blackAndWhitePrintSpeed|R|4000|NULL
avp|avp/blankMediaPackagingType|R|72100|NULL
avp|avp/bodyStyle|R|4100|NULL
avp|avp/bottleCapacity|R|80800|NULL
avp|avp/brandCompatibility|R|4200|NULL
avp|avp/bridgeType|R|4300|NULL
avp|avp/bTURating|R|4400|NULL
avp|avp/bufferSize|R|4500|NULL
avp|avp/bufferSizeUOM|R|4600|NULL
avp|avp/builtinHeater|R|4700|NULL
avp|avp/busType|R|73700|NULL
avp|avp/buyerContactName|R|4800|NULL
avp|avp/c4p4ItemCode|R|82400|NULL
avp|avp/c4p4PromotionPurchasePrice|R|82900|NULL
avp|avp/c4p4PromotionPurchasePriceEndDate|R|82800|NULL
avp|avp/c4p4PromotionPurchasePriceStartDate|R|82700|NULL
avp|avp/c4p4PurchasePrice|R|82600|NULL
avp|avp/c4p4PurchasePriceStartDate|R|82500|NULL
avp|avp/cableConnectionTypes|R|4900|NULL
avp|avp/cableLength|R|5000|NULL
avp|avp/cableLengthUOM|R|5100|NULL
avp|avp/cacheSize|R|5200|NULL
avp|avp/cacheUOM|R|5300|NULL
avp|avp/callerIDLocation|R|5400|NULL
avp|avp/cameraBagComposition|R|5500|NULL
avp|avp/cameraBagType|R|5600|NULL
avp|avp/cameraFilmType|R|5700|NULL
avp|avp/cameraFlashType|R|5800|NULL
avp|avp/cameraKitAccessoriesDescription|R|5900|NULL
avp|avp/cameraLensMagnification|R|6000|NULL
avp|avp/cameraLensOpticalZoom|R|6100|NULL
avp|avp/cameraLensZoomRange|R|6200|NULL
avp|avp/canDisplayPictures|R|6300|NULL
avp|avp/canDownloadGames|R|6400|NULL
avp|avp/canDownloadHighSpeedBroadband|R|6500|NULL
avp|avp/canMountUnderCabinet|R|6600|NULL
avp|avp/canPrintDirectToCD|R|6700|NULL
avp|avp/canPrintOnTradeItem|R|6800|NULL
avp|avp/canRecord2ProgramsSimultaneously|R|6900|NULL
avp|avp/canStoreWaypoints|R|7000|NULL
avp|avp/canSwivel|R|7100|NULL
avp|avp/canSynchronizeWithCalendars|R|7200|NULL
avp|avp/canSynchronizeWithEmail|R|7300|NULL
avp|avp/canWakeToCD|R|7400|NULL
avp|avp/capacityOfExpandibleHandsets|R|7500|NULL
avp|avp/capacityQuantity|R|7600|NULL
avp|avp/capacityQuantityUOM|R|7700|NULL
avp|avp/capacityType|R|7800|NULL
avp|avp/casePackQty|R|9000|NULL
avp|avp/casePackQtyUOM|R|9300|NULL
avp|avp/cassetteCapacity|R|7900|NULL
avp|avp/cdCapacity|R|8000|NULL
avp|avp/ceAndAccessoryPrimaryColor|R|8100|NULL
avp|avp/ceAndAccessorySecondaryColor|R|8200|NULL
avp|avp/cellularServiceProviderName|R|8300|NULL
avp|avp/chemicalClass|R|83000|NULL
avp|avp/cleanAirDeliveryRateDust|R|8400|NULL
avp|avp/cleanAirDeliveryRatePollen|R|8500|NULL
