Subclass|Attribute XML Name|Attribute Edit Permission|Display Order|Label Characteristics
Kro_Class_All|avp/wEEERegistrationNumber|R|78700|NULL
Kro_Class_All|avp/weightVolumeDescriptionActualOnPack|R|68200|NULL
Kro_Class_All|avp/wireGaugeThickness|R|71200|NULL
Kro_Class_All|avp/wirelessRange|R|71300|NULL
Kro_Class_All|avp/wirelessRangeUOM|R|71400|NULL
Kro_Class_All|avp/woodGrain|R|71500|NULL
Kro_Class_All|avp/wooferAirSpace|R|71600|NULL
Kro_Class_All|avp/wooferAirSpaceUOM|R|71700|NULL
Kro_Class_All|avp/wooferSize|R|71800|NULL
Kro_Class_All|avp/wooferSizeUOM|R|71900|NULL
Kro_Class_All|avp/wrinPrefix|R|83200|NULL
Kro_Class_All|avp/wrinSuffix|R|83300|NULL
Kro_Class_All|avp/wSINumber|R|400|NULL
Kro_Class_All|batteryTypeInformation/areBatteriesBuiltIn|R|109100|NULL
Kro_Class_All|batteryTypeInformation/batteryTechnologyType|E|1100|NULL
Kro_Class_All|batteryTypeInformation/batteryType|R|109200|NULL
Kro_Class_All|batteryTypeInformation/batteryWeight|E|1400|NULL
Kro_Class_All|batteryTypeInformation/quantityOfBatteriesBuiltIn|E|1200|NULL
Kro_Class_All|batteryTypeInformation/quantityOfBatteriesRequired|E|1300|NULL
Kro_Class_All|boxOfficeRevenueDomestic|R|14400|NULL
Kro_Class_All|boxOfficeRevenueFirstWeekDomestic|R|14500|NULL
Kro_Class_All|boxOfficeRevenueUS|R|14600|NULL
Kro_Class_All|boxOfficeRevenueWorldwideUSDollars|R|14700|NULL
Kro_Class_All|brandDistributionTradeItemType|R|143100|NULL
Kro_Class_All|brandDistributionType|R|137400|NULL
Kro_Class_All|brandName|E|500|MANDATORY_BEFORE
Kro_Class_All|brandOwnerGLN|E|400|NULL
Kro_Class_All|brandOwnerName|R|500|NULL
Kro_Class_All|brokerInvoiceIndicator|R|18400|NULL
Kro_Class_All|builtInProductType|R|139400|NULL
Kro_Class_All|canadaHazMat/hazMatClass|R|109700|NULL
Kro_Class_All|canadaHazMat/hazMatCode|R|109800|NULL
Kro_Class_All|canadaHazMat/hazMatDesc|R|109900|NULL
Kro_Class_All|cancelDate|E|100|NULL
Kro_Class_All|canTradeItemBeBackOrdered|R|136600|NULL
Kro_Class_All|cardPriceGroupIdentifier|R|15900|NULL
Kro_Class_All|casingTareWeight|R|20700|NULL
Kro_Class_All|cataloguePrice/basisPerUnit|R|3000|NULL
Kro_Class_All|cataloguePrice/effectiveEndDate|R|110100|NULL
Kro_Class_All|cataloguePrice/effectiveStartDate|E|7700|NULL
Kro_Class_All|cataloguePrice/price|E|7600|NULL
Kro_Class_All|cataloguePrice/sheetName|R|110400|NULL
Kro_Class_All|certificationInformation|E|143400|NULL
Kro_Class_All|channelOfDistribution|R|18200|NULL
Kro_Class_All|clampPressure|R|21000|NULL
Kro_Class_All|clothingCut|R|140300|NULL
Kro_Class_All|collarType|R|140400|NULL
Kro_Class_All|color/agency|R|1800|NULL
Kro_Class_All|color/code|R|1900|NULL
Kro_Class_All|color/description|R|2000|NULL
Kro_Class_All|combFilterTechnologyTypeCode|E|1700|NULL
Kro_Class_All|communicationinformation|E|600|NULL
Kro_Class_All|componentsLabeledForDisassemblyRecyclingPercent|R|21300|NULL
Kro_Class_All|consumerAvailabilityDateTime|E|900|NULL
Kro_Class_All|consumerPackageDisclaimers/consumerPackageDisclaimer|E|3000|NULL
Kro_Class_All|consumerSafetyInformation|R|105400|NULL
Kro_Class_All|consumerStorageInstructions|E|100|NULL
Kro_Class_All|consumerSupportNumber|R|19200|NULL
Kro_Class_All|contentsDescription|R|133700|NULL
Kro_Class_All|contextIdentification|R|138600|NULL
Kro_Class_All|controlledSubstanceInformation|E|141900|NULL
Kro_Class_All|countryOfOrigin/countryCode|E|4200|NULL
Kro_Class_All|countryOfOrigin/countrySubdivisionCode|E|4300|NULL
Kro_Class_All|couponFamilyCode|E|10400|NULL
Kro_Class_All|dangerousSubstanceInformation|E|300|NULL
Kro_Class_All|dataCarrier/applicationIdentifierTypeCode|R|111200|NULL
Kro_Class_All|dataCarrier/dataCarrierFamilyTypeCode|R|111300|NULL
Kro_Class_All|dataCarrier/dataCarrierPresenceCode|R|111400|NULL
Kro_Class_All|dataCarrier/dataCarrierTypeCode|E|4500|MANDATORY_BEFORE
Kro_Class_All|datesBanner|R|1200|NULL
Kro_Class_All|decPackagingTypeCode|E|700|NULL
Kro_Class_All|decPackagingTypeDescription|E|800|NULL
Kro_Class_All|decSupplierContact|E|100|NULL
Kro_Class_All|decSupplierContactEmail|E|300|NULL
Kro_Class_All|decSupplierContactPhoneNumber|E|200|NULL
Kro_Class_All|degreeOfOriginalWort|R|4000|NULL
Kro_Class_All|deliveryLeadTime|R|18700|NULL
Kro_Class_All|dependentProprietaryTradeItems/dependentProprietaryTradeItem|R|111500|NULL
Kro_Class_All|depth|E|1600|MANDATORY_BEFORE
Kro_Class_All|detachableSpeakerTypeCode|R|139500|NULL
Kro_Class_All|diameter|R|7500|NULL
