Subclass|Attribute XML Name|Attribute Edit Permission|Display Order|Label Characteristics
myr_ApproverMassUpdate|kroWillProductEmitOdor|E|92700|NULL
myr_ApproverMassUpdate|kroWirelessStandardV11803|R|256900|NULL
myr_ApproverMassUpdate|kroWirelessSyncing|R|252900|NULL
myr_ApproverMassUpdate|kroWirelessV11802|R|256700|NULL
myr_ApproverMassUpdate|kroWithAddedMilk|E|176600|NULL
myr_ApproverMassUpdate|kroWithAutoFocus|R|253000|NULL
myr_ApproverMassUpdate|kroWithBuiltInFlash|R|253100|NULL
myr_ApproverMassUpdate|kroWithBuiltInSpeaker|R|253200|NULL
myr_ApproverMassUpdate|kroWithCarryCase|R|249400|NULL
myr_ApproverMassUpdate|kroWithDietLightClaimV12159|E|294000|NULL
myr_ApproverMassUpdate|kroWithHandlesV11704|R|244600|NULL
myr_ApproverMassUpdate|kroWithHook|E|279600|NULL
myr_ApproverMassUpdate|kroWithLid|E|206700|NULL
myr_ApproverMassUpdate|kroWithMatBorder|E|203700|NULL
myr_ApproverMassUpdate|kroWithRadio|R|249500|NULL
myr_PrintRetailerData|kroWithSecondaryReflector|R|253300|NULL
myr_PrintRetailerData|kroWithShockproofClaim|R|249600|NULL
myr_PrintRetailerData|kroWithWithoutCDPlayerV11744|R|249700|NULL
myr_PrintRetailerData|kroWithZoom|R|253400|NULL
myr_PrintRetailerData|kroWooferSizeV11857|R|265400|NULL
myr_PrintRetailerData|kroWorkLightFormV11929|E|271300|NULL
myr_PrintRetailerData|kroWorldReceiverFunctionality|R|249800|NULL
myr_PrintRetailerData|kroWPSIDNumber|E|2700|NULL
myr_PrintRetailerData|kroWrinkleFree|E|207800|NULL
myr_PrintRetailerData|kroWritingInstrumentStyleV11382|E|217600|NULL
myr_PrintRetailerData|kroYogurtPresent|E|129300|NULL
myr_PrintRetailerSupData|kroZipperOnProduct|E|209000|NULL
myr_PrintRetailerSupData|languageSpecificBrandName|R|138000|NULL
myr_PrintRetailerSupData|languageSpecificSubbrandName|R|139000|NULL
myr_PrintRetailerSupData|lastModifiedDate|R|5300|NULL
myr_PrintRetailerSupData|lastOrderDate|E|5900|NULL
myr_PrintRetailerSupData|lastReturnableDateTime|R|13700|NULL
myr_PrintRetailerSupData|lastShipDate|E|6100|NULL
myr_PrintRetailerSupData|layerHeight|R|20500|NULL
myr_PrintRetailerSupData|logisticalUnitStackingFactor|R|4500|NULL
myr_PrintRetailerSupData|logisticsUnitDepth|R|4100|NULL
myr_PrintRetailerSupData|logisticsUnitGrossWeight|R|4200|NULL
myr_PrintRetailerSupData|logisticsUnitHeight|R|4300|NULL
myr_PrintRetailerSupData|logisticsUnitWidth|R|4400|NULL
myr_PrintRetailerSupData|longSynopsis|R|14900|NULL
