Subclass|Attribute XML Name|Attribute Edit Permission|Display Order|Label Characteristics
mcd_ctx_DefaultAllItem|kroTypeOfTequilaV11893|E|267900|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTherapeuticHosieryV12922|E|299000|MANDATORY_BEFORE
mcd_ctx_DefaultAllItem|kroTypeOfThermalContainerV11259|E|201300|NULL
mcd_ctx_DefaultAllItem|kroTypeOfThermometerV12971|E|297700|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTireCareV11663|R|242300|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTobaccoV11044|E|181000|NULL
mcd_ctx_DefaultAllItem|kroTypeOfToiletCleaningProductsV10772|E|167700|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTomatoV12874|E|290300|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTonersAstringentsV10323|E|78100|NULL
mcd_ctx_DefaultAllItem|kroTypeOfToolKitSetV12032|E|278600|NULL
mcd_ctx_DefaultAllItem|kroTypeOfToolV12019|E|277300|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTopTreatmentV11398|E|219000|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTowelV11080|E|184400|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTowelV11401|E|184500|NULL
mcd_ctx_DefaultAllItem|kroTypeOfToyV11877|E|266500|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTransmissionFluidV11673|R|243300|NULL
mcd_ctx_DefaultAllItem|kroTypeOfTunaV10456|E|148200|NULL
mcd_ctx_DefaultAllItem|kroTypeOfUseV10547|E|80400|NULL
mcd_ctx_DefaultAllItem|kroTypeOfVacuumCleanerV11117|E|187900|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10653|E|166300|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10822|E|78300|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10840|E|78400|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10855|E|78500|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10856|E|165900|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10867|E|166100|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10868|E|165800|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10869|E|165700|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10870|E|166000|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10871|E|166200|NULL
mcd_ctx_DefaultAllItem|kroTypeOfValueAddedEnhancementV10872|E|165600|NULL
mcd_HierarchyValidation|kroTypeOfValueAddedEnhancementV12858|E|293500|MANDATORY_BEFORE
mcd_HierarchyValidation|kroTypeOfVegetable|E|78600|NULL
mcd_HierarchyValidation|kroTypeOfVegetarianDiet|E|15700|NULL
mcd_HierarchyValidation|kroTypeOfVideoGameAccessoryV11723|R|247300|NULL
mcd_HierarchyVP|kroTypeOfVideoGameConsoleV11722|R|247000|NULL
mcd_HierarchyVP|kroTypeOfVinegarV10150|E|149200|NULL
mcd_HierarchyVP|kroTypeOfWallDecorV11309|E|206800|NULL
mcd_HierarchyVP|kroTypeOfWallPlateV11928|E|271200|NULL
mcd_HierarchyVP|kroTypeOfWashSolutionV11153|E|190400|NULL
mcd_HierarchyVP|kroTypeOfWatchMechanismV11500|E|231100|NULL
mcd_HierarchyVP|kroTypeOfWatchV11497|E|230800|NULL
mcd_HierarchyVP|kroTypeOfWaterSoftenerV10417|E|160000|NULL
mcd_HierarchyVP|kroTypeOfWaterV11035|E|180100|NULL
mcd_HierarchyVP|kroTypeOfWaxV11303|E|206500|NULL
mcd_HierarchyVP|kroTypeOfWheelchairV13009|E|298900|NULL
mcd_HierarchyVP|kroTypeOfWheelHardwareV11624|R|238900|NULL
mcd_HierarchyVP|kroTypeOfWindscreenPreparationV11664|R|242400|NULL
mcd_HierarchyVP|kroTypeOfWineV11162|E|191900|NULL
mcd_HierarchyVP|kroTypeOfWingV11412|E|221300|NULL
mcd_HierarchyVP|kroTypeOfWiperBladeV11628|R|239300|NULL
mcd_HierarchyVP|kroTypeOfWipesPersonalV10166|E|78700|NULL
mcd_HierarchyVP|kroTypeOfWrenchV12028|E|278200|NULL
mcd_HierarchyVP|kroTypeOfWritingInstrumentV11381|E|217400|NULL
mcd_HierarchyVP|kroTypeOfYogurtYogurtSubstituteV11253|E|200900|NULL
mcd_HierarchyVP|kroUDSALambGradeV11471|E|226300|NULL
mcdROGDSNHierarchy|kroULApprovedV11932|E|96200|NULL
mcdROGDSNHierarchy|kroUmbrellaLiftType|E|500|NULL
mcdROGDSNHierarchy|kroUnitMarkingsV13008|E|298800|NULL
mcdROGDSNHierarchy|kroUOMOfPrePricedItem|E|7500|NULL
mcdROGDSNHierarchy|kroUpperMaterialContent|E|1400|NULL
mcdROGDSNHierarchy|kroUpperMaterialPercentage|E|1500|NULL
mcdROGDSNHierarchy|kroUSBCableIncluded|E|297800|NULL
