Subclass|Attribute XML Name|Attribute Edit Permission|Display Order|Label Characteristics
mcl_RI|kroUSDAInspectedProduct|E|202800|NULL
mcl_RI|kroValueAddedIngredientForCustomerBenefitV10359|E|89200|NULL
mcl_RI|kroValueAddedIngredientForCustomerBenefitV10360|E|110000|NULL
mcl_RI|kroValueAddedIngredientForCustomerBenefitV10361|E|109800|NULL
mcl_RI|kroValueAddedIngredientForCustomerBenefitV10809|E|110100|NULL
mcl_RI|kroValueAddedIngredientForCustomerBenefitV10826|E|110200|NULL
mcl_RI|kroValueAddedIngredientForCustomerBenefitV10842|E|109900|NULL
mcl_RI|kroValueAddedIngredientForCustomerBenefitV10844|E|89300|NULL
mcl_RI|kroValueAddedIngredientForCustomerBenefitV11130|E|110300|NULL
mcl_RI|kroValueAddedIngredientForCustomerBenefitV11202|E|110400|NULL
mcl_RI|kroValueOfCardFixedOrVariableV12156|E|293600|NULL
mcl_RI|kroVariableDenominationOfCardMaximumAmount|E|293700|NULL
mcl_RI|kroVariableDenominationOfCardMinimumAmount|E|293800|NULL
mcl_RI|kroVarianceSwellReclaim|E|6900|NULL
mcl_RI|kroVariationOfRumV11899|E|268300|NULL
mcl_RI|kroVarietyListedOnPackage|R|228800|NULL
mcl_RI|kroVarietyListedOnProducePackage|E|228900|NULL
mcl_RI|kroVarietyOfCantaloupeV11491|E|230000|NULL
mcl_RI|kroVarietyOfFruitHerbalInfusionV11006|E|177700|NULL
mcl_RI|kroVarietyOfHoneydewV11490|E|229800|NULL
mcl_RI|kroVarietyOfPeachV10464|E|78800|NULL
mcl_RI|kroVarietyOfPopcornV10008|E|159400|NULL
mcl_RI|kroVarietyOfProduceV11150|E|190100|NULL
mcl_RI|kroVarietyOfReadyToDrinkCoffeeOrCoffeeSubstituteV10948|E|78900|NULL
mcl_RI|kroVarietyOfReadyToDrinkTeaV11017|E|178900|NULL
mcl_RI|kroVarietyOfTeaV11002|E|177400|NULL
mcl_RI|kroVarietyOfWatermelonV11489|E|229600|NULL
mcl_RI|kroVaseIncluded|E|204400|NULL
mcl_RI|kroVegetarianQualifiedProduct|E|146600|NULL
mcl_RI|kroVendorSwellPercentage|E|6700|PERCENTAGE
mcl_VP|kroVerticalShapeV10331|E|140800|NULL
mcl_VP|kroVesaSizeV11853|R|265000|NULL
mcl_VP|kroVideoDiskCompatibilityV11854|R|265100|NULL
mcl_VP|kroVideoDiskFormats|E|2000|NULL
mcl_VP|kroVideoUpconversionV11855|R|265200|NULL
mcl_VP|kroViewingAngleV11856|R|265300|NULL
mcl_VP|kroVinegarFromItalyWithModenaSeal|E|163100|NULL
mcl_VP|kroVintageV12135|E|292700|NULL
mcl_VP|kroVintageYear|E|292800|NULL
mcl_VP|kroViscosityRatingIndicationOrRelatedStandardV11278|E|203400|NULL
mcl_VP|kroVitaminAPerQuartInInternationalUnits|E|164600|NULL
mcl_VP|kroVitaminCPercentOfRecommendedDailyAllowance|E|91400|NULL
mcl_VP|kroVitaminDPerQuartInInternationalUnits|E|164700|NULL
mcl_VP|kroVitaminLetterV10355|E|127400|NULL
mcl_VP|kroVitaminMineralV10117|E|79000|NULL
mcl_VP|kroVoicePrompts|R|252800|NULL
mcl_VP|kroWaistStyle|E|1500|NULL
mcl_VP|kroWallMounted|E|207300|NULL
mcl_VP|kroWarehouseDeliveryMethodV11477|E|228100|NULL
mcl_VP|kroWarnings|E|17100|NULL
mcl_VP|kroWarranty|E|218200|NULL
mcl_VP|kroWashable|E|208200|NULL
mcl_VP|kroWasSubclassDefaulted|R|500|NULL
mclBuyerMassUpdate|kroWaterPickupPercentage|E|89400|NULL
mclBuyerMassUpdate|kroWaterproof|E|199100|NULL
mclBuyerMassUpdate|kroWaterResistantClaim|E|131100|NULL
mclBuyerRtl|kroWaterTightV11568|R|235200|NULL
mclBuyerRtl|kroWattageReplacementV11910|E|269800|NULL
mclBuyerRtl|kroWattageV11909|E|269600|NULL
mclBuyerVndrReadOnly|kroWeaveType|E|1700|NULL
mclBuyerVndrReadOnly|kroWebsphereParentGroupIdentifier|R|322700|NULL
mclHeader|kroWeightClassificationV12924|E|298700|NULL
mclHeader|kroWeightOfPaper|E|217500|NULL
mclHeader|kroWeightRange|E|298600|NULL
mclHeader|kroWeightRangeForConsumerPackage|R|107900|NULL
mclHeader|kroWeightRangeForConsumerPackageV10373|E|106000|NULL
mclNISTRtl|kroWeightWatchersPointsAvailable|E|222200|NULL
mclNISTRtl|kroWERCSProductClassificationV11440|E|2600|NULL
