Subclass|Attribute XML Name|Attribute Edit Permission|Display Order|Label Characteristics
sw_ctx_BaseUnit_T_CD|swDSDController/swNewCICRequired|R|10800|NULL
sw_ctx_BaseUnit_T_CD|swDSDController/swSetupInDivision|R|10600|NULL
sw_ctx_BaseUnit_T_CD|swDSDController/swUnitsPerStorePerWeekCD|E|9900|NULL
sw_ctx_BaseUnit_T_CD|swDSDController/swUnitsPerStorePerWeekVendor|R|10000|NULL
sw_ctx_BaseUnit_T_CD|swDSDDistributionBannerEnd|R|10900|NULL
sw_ctx_BaseUnit_T_CD|swDSDDistributionBannerStart|R|8900|NULL
sw_ctx_BaseUnit_T_CD|swEasternGenuardisTemperatureRequirements|E|7700|NULL
sw_ctx_BaseUnit_T_CD|swFormatOfDateOnMasterCase|E|7000|NULL
sw_ctx_BaseUnit_T_CD|swFundingFreeOrTrialProductOnJ4U|E|7300|NULL
sw_ctx_BaseUnit_T_CD|swGroup|E|200|MANDATORY_BEFORE
sw_ctx_BaseUnit_T_CD|swGroupContext|E|200|NULL
sw_ctx_BaseUnit_T_CD|swGroupOverride|E|7500|NULL
sw_ctx_BaseUnit_T_CD|swHACCP|E|2800|NULL
sw_ctx_BaseUnit_T_CD|swHazardClassOrDivision|E|4400|NULL
sw_ctx_BaseUnit_T_CD|swHazardousInformationBanner|R|3200|NULL
sw_ctx_BaseUnit_T_CD|swHazardousSubstance|E|6600|NULL
sw_ctx_BaseUnit_T_CD|swHazardousSubstanceReportableQuantity|E|6500|MANDATORY_BEFORE
sw_ctx_BaseUnit_T_CD|swHazmatTransportationConsiderations|E|3400|MANDATORY_BEFORE
sw_ctx_BaseUnit_T_CD|swHazmatWeight|E|4800|NULL
sw_ctx_BaseUnit_T_CD|swIsCAWCOF|E|5200|NULL
sw_ctx_BaseUnit_T_CD|swIsFSAEligible|E|6000|MANDATORY_BEFORE
sw_ctx_BaseUnit_T_CD|swIsItemAerosol|E|6100|MANDATORY_BEFORE
sw_ctx_BaseUnit_T_CD|swIsItemBottleDepositOrCRVEligible|E|5700|MANDATORY_BEFORE
sw_ctx_BaseUnit_T_CD|swIsItemControlledSubstance|E|2400|MANDATORY_BEFORE
sw_ctx_BaseUnit_T_CD|swIsItemLabeledUSDAOrganic|E|4400|MANDATORY_BEFORE
sw_ctx_BaseUnit_T_CD|swIsItemOneTimeBuy|E|2700|MANDATORY_BEFORE
