Subclass|Attribute XML Name|Attribute Edit Permission|Display Order|Label Characteristics
wm_Animal|width|E|1500|MANDATORY_BEFORE
wm_Animal|wmAccessoriesCasesBagsScreenSize|E|5700|NULL
wm_Animal|wmActiveIngredients/wmAnimalAnimalHealthGroomingActiveIngredientName|E|3000|MANDATORY_BEFORE
wm_Animal|wmActiveIngredients/wmAnimalAnimalHealthGroomingActiveIngredientPercentage|E|3100|NULL
wm_Animal|wmActiveIngredients/wmBuildingSupplyActiveIngredientName|E|4400|MANDATORY_BEFORE
wm_Animal|wmActiveIngredients/wmBuildingSupplyActiveIngredientPercentage|E|4500|NULL
wm_Animal|wmActiveIngredients/wmCleaningChemicalActiveIngredientName|E|4000|MANDATORY_BEFORE
wm_Animal|wmActiveIngredients/wmCleaningChemicalActiveIngredientPercentage|E|4100|NULL
wm_Animal|wmActiveIngredients/wmMedicineSupplementsActiveIngredientName|E|4400|MANDATORY_BEFORE
wm_Animal|wmActiveIngredients/wmMedicineSupplementsActiveIngredientPercentage|E|4500|NULL
wm_Animal|wmActiveIngredients/wmPersonalCareActiveIngredientName|E|4100|NULL
wm_Animal|wmActiveIngredients/wmPersonalCareActiveIngredientPercentage|E|4200|NULL
wm_Animal|wmAdditionalProductAttributes/wmRootAddtionalProductAttributeName|E|5200|NULL
wm_Animal|wmAdditionalProductAttributes/wmRootAddtionalProductAttributeValue|E|5300|NULL
wm_Animal|wmAlcoholicBeveragesContainsSulfites|E|5300|NULL
wm_Animal|wmAlcoholicBeveragesIsEstateBottled|E|5000|NULL
wm_Animal|wmAlcoholicBeveragesIsNonGrape|E|5400|NULL
wm_AnimalAccessories|wmAlcoholicBeveragesWhiskeyPercentage|E|4900|NULL
wm_AnimalAccessories|wmAlcoholicBeveragesWineAppellation|E|5100|NULL
wm_AnimalAccessories|wmAnimalAnimalAccessoriesCharacter|E|3300|NULL
wm_AnimalAccessories|wmAnimalAnimalAccessoriesCondition|E|3400|NULL
wm_AnimalFood|wmAnimalAnimalAccessoriesIsReflective|E|2800|NULL
wm_AnimalFood|wmAnimalAnimalAccessoriesMakesNoise|E|2900|NULL
wm_AnimalFood|wmAnimalAnimalBreed|E|1400|NULL
wm_AnimalFood|wmAnimalAnimalFoodAnimalHealthConcern|E|3000|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalFoodFeedingInstructions|E|3300|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalFoodIsGrain-Free|E|3200|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalFoodPetFoodForm|E|2900|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingAnimalHealthConcern|E|3500|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingCondition|E|4000|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingDrugFactsLabel|E|2900|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingForm|E|3700|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingHairLength|E|3900|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingInactiveIngredients|E|3200|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingIsDisposable|E|3300|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingIsDrugFactsLabelRequired|E|2800|MANDATORY_BEFORE
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingPetSize|E|3600|NULL
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingPowerType|E|4100|MANDATORY_BEFORE
wm_AnimalHealthGrooming|wmAnimalAnimalHealthGroomingStopUseIndications|E|3800|NULL
wm_ArtCraftArtCraft|wmAnimalAnimalLifestage|E|1600|NULL
wm_ArtCraftArtCraft|wmAnimalAnimalType|E|1300|NULL
wm_ArtCraftArtCraft|wmAnimalFabricCareInstructions|E|2300|NULL
wm_ArtCraftArtCraft|wmAnimalFactoryID|E|700|NULL
wm_ArtCraftArtCraft|wmAnimalIsFoldable|E|2700|NULL
wm_ArtCraftArtCraft|wmAnimalIsPortable|E|2600|NULL
wm_ArtCraftArtCraft|wmAnimalIsPrimaryVariant|E|500|NULL
wm_ArtCraftArtCraft|wmAnimalManufacturerPartNumber|E|1200|NULL
wm_ArtCraftArtCraft|wmAnimalMaterial|E|2500|NULL
wm_ArtCraftArtCraft|wmAnimalMaximumWeight|E|1800|NULL
wm_ArtCraftArtCraft|wmAnimalMinimumWeight|E|1700|NULL
wm_ArtCraftArtCraft|wmAnimalPattern|E|2400|NULL
wm_ArtCraftArtCraft|wmAnimalPetSize|E|1500|NULL
wm_ArtCraftArtCraft|wmAnimalVariantAttributeNames|E|400|NULL
wm_ArtCraftArtCraft|wmArtCraftAgeGroup|E|2000|NULL
wm_ArtCraftArtCraft|wmArtCraftArtPaintType|E|4500|NULL
wm_ArtCraftArtCraft|wmArtCraftCapacity|E|1900|NULL
wm_ArtCraftArtCraft|wmArtCraftChainLength|E|4300|NULL
wm_ArtCraftArtCraft|wmArtCraftCharacter|E|2200|NULL
wm_ArtCraftArtCraft|wmArtCraftCondition|E|6200|NULL
wm_ArtCraftArtCraft|wmArtCraftCulturalStyle|E|2800|NULL
wm_ArtCraftArtCraft|wmArtCraftFabricCareInstructions|E|1600|NULL
wm_ArtCraftArtCraft|wmArtCraftFactoryId|E|700|NULL
wm_ArtCraftArtCraft|wmArtCraftFinish|E|3900|NULL
wm_ArtCraftArtCraft|wmArtCraftForm|E|4600|NULL
wm_ArtCraftArtCraft|wmArtCraftGender|E|1400|NULL
wm_ArtCraftArtCraft|wmArtCraftGotsCertification|E|4000|NULL
wm_ArtCraftArtCraft|wmArtCraftIsAntique|E|3600|NULL
wm_ArtCraftArtCraft|wmArtCraftIsAntitarnish|E|4200|NULL
wm_ArtCraftArtCraft|wmArtCraftIsCollectible|E|3700|NULL
wm_ArtCraftArtCraft|wmArtCraftIsDisposable|E|5300|NULL
wm_ArtCraftArtCraft|wmArtCraftIsFoldable|E|5200|NULL
wm_ArtCraftArtCraft|wmArtCraftIsHandmade|E|5400|NULL
wm_ArtCraftArtCraft|wmArtCraftIsMadeFromRecycledMaterial|E|4800|NULL
wm_ArtCraftArtCraft|wmArtCraftIsPersonalizable|E|2500|NULL
wm_ArtCraftArtCraft|wmArtCraftIsPortable|E|5100|NULL
wm_ArtCraftArtCraft|wmArtCraftIsPowered|E|3100|NULL
wm_ArtCraftArtCraft|wmArtCraftIsPrimaryVariant|E|500|NULL
wm_ArtCraftArtCraft|wmArtCraftIsRecyclable|E|5600|NULL
wm_ArtCraftArtCraft|wmArtCraftIsReusable|E|5500|NULL
wm_ArtCraftArtCraft|wmArtCraftIsSelfAdhesive|E|6000|NULL
wm_ArtCraftArtCraft|wmArtCraftManufacturerPartNumber|E|1200|NULL
wm_ArtCraftArtCraft|wmArtCraftMaterial|E|1700|NULL
wm_ArtCraftArtCraft|wmArtCraftMetal|E|2300|NULL
wm_ArtCraftArtCraft|wmArtCraftOccasion|E|2400|NULL
wm_Baby|wmArtCraftOrganicCertifications|E|4100|NULL
wm_Baby|wmArtCraftPattern|E|4700|NULL
wm_Baby|wmArtCraftPlating|E|4400|NULL
wm_Baby|wmArtCraftPowerType|E|3200|NULL
wm_Baby|wmArtCraftRecommendedSurfaces|E|2700|NULL
wm_Baby|wmArtCraftRecommendedUses|E|2600|NULL
wm_Baby|wmArtCraftSkillLevel|E|5900|NULL
wm_Baby|wmArtCraftSubject|E|3000|NULL
wm_Baby|wmArtCraftTheme|E|2900|NULL
wm_Baby|wmArtCraftVariantAttributeNames|E|400|NULL
wm_Baby|wmBabyAgeGroup|E|1400|NULL
wm_Baby|wmBabyCapacity|E|2000|NULL
wm_Baby|wmBabyCharacter|E|3200|NULL
wm_Baby|wmBabyClothingAgeGroup|E|5200|NULL
wm_Baby|wmBabyClothingApparelCategory|E|5300|NULL
wm_Baby|wmBabyClothingFabricCareInstructions|E|4700|MANDATORY_BEFORE
wm_Baby|wmBabyClothingGender|E|5100|MANDATORY_BEFORE
wm_Baby|wmBabyCondition|E|3000|NULL
